Item	Gloss	Similarity_Group	Raw_Form	Form	Site_Codes	PDF_Page	Printed_Page	Response	Review
175	to lie down	2		aŋal	l	73	70	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
175	to lie down	2		iŋal	a	73	70	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
175	to lie down	3		dʒau̯	bi	73	70	5	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
175	to lie down	4		ɔhjɔl	c	73	70	6	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
175	to lie down	5		jɔ (na)	g	73	70	7	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
175	to lie down	6		dʒou̯ (na)	h	73	70	8	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
175	to lie down	7		mudʒal	jm	73	70	9	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
175	to lie down	8		əhio̯lhlo	k	73	70	10	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
176	to walk	1		hãʈa	0	73	70	1	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
176	to walk	2		akal	al	73	70	2	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
176	to walk	2		kal	bijm	73	70	3	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
176	to walk	3		tʃɛtɛi̯	c	73	70	4	public Appendix A PDF text layer; embedded SAG-IPA subset decoded from font outlines and SIL SAGIPA2Uni.map v1.0
