Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,22,legacy:20230524-sindhic:row:22,luwati,13952,haɗū,bone,,haɗu,,maimani
ingested,,23,legacy:20230524-sindhic:row:23,maimani,6671,ɓāretūh,burn,,ɓa:retuh,,maimani
ingested,,24,legacy:20230524-sindhic:row:24,luwati,6671,ɓāretū,burn,,ɓa:retu,,maimani
ingested,,25,legacy:20230524-sindhic:row:25,maimani,5014,śātīh,chest,,ʃa:tih,,maimani
ingested,,26,legacy:20230524-sindhic:row:26,luwati,5014,cātī,chest,,tʃa:ti,,maimani
ingested,,27,legacy:20230524-sindhic:row:27,maimani,,mlār,cloud,,mla:r,,maimani
ingested,,28,legacy:20230524-sindhic:row:28,luwati,11567,vāḍya,cloud,,wa:ɖja,,maimani
ingested,,29,legacy:20230524-sindhic:row:29,maimani,13676,ʈʰaḍūh,cold,,ʈʰaɖuh,,maimani
ingested,,30,legacy:20230524-sindhic:row:30,luwati,13676,ṭʰaḍū,cold,,ʈʰaɖu,,maimani
ingested,,31,legacy:20230524-sindhic:row:31,maimani,227,aśetūh,come,,aʃetuh,,maimani
ingested,,32,legacy:20230524-sindhic:row:32,luwati,227,acetū,come,,atʃetu,,maimani
ingested,,33,legacy:20230524-sindhic:row:33,maimani,9871,maretūh,die,,maretuh,,maimani
ingested,,34,legacy:20230524-sindhic:row:34,luwati,9871,maretū,die,,maretu,,maimani
ingested,,35,legacy:20230524-sindhic:row:35,maimani,3275,kuttūh,dog,,kʊttuh,,maimani
ingested,,36,legacy:20230524-sindhic:row:36,luwati,3275,kuttū,dog,,kʊttu,,maimani
ingested,,37,legacy:20230524-sindhic:row:37,maimani,8209,byetūh,drink,,bjetuh,,maimani
ingested,,38,legacy:20230524-sindhic:row:38,luwati,8209,byetū,drink,,bjetu,,maimani
ingested,,39,legacy:20230524-sindhic:row:39,maimani,12548,sukkūyah,dry,,sʊkkujah,,maimani
ingested,,40,legacy:20230524-sindhic:row:40,luwati,12548,sukkū,dry,,sʊkku,,maimani
ingested,,41,legacy:20230524-sindhic:row:41,maimani,2830,kʰan,ear,,kʰan,,maimani
ingested,,42,legacy:20230524-sindhic:row:42,luwati,2830,kʰan,ear,,kʰan,,maimani
ingested,,43,legacy:20230524-sindhic:row:43,maimani,,zamīn,earth,,zamin,,maimani
ingested,,44,legacy:20230524-sindhic:row:44,luwati,,zimīn,earth,,zɪmin,,maimani
ingested,,45,legacy:20230524-sindhic:row:45,maimani,3865,kaituh,eat,,kaɪtʊh,,maimani
ingested,,46,legacy:20230524-sindhic:row:46,luwati,3865,kaitu,eat,,kaɪtʊ,,maimani
ingested,,47,legacy:20230524-sindhic:row:47,maimani,1111,ānūh,egg,,a:nuh,,maimani
ingested,,48,legacy:20230524-sindhic:row:48,luwati,1111,ānū,egg,,a:nu,,maimani
