Status,Reason,Snapshot_Row,Entry_Key,Language_ID,Parameter_ID,Raw_Form,Gloss,Native,Phonemic,Notes,Source
ingested,,68,legacy:20220913-kvari:row:68,kvar,10452,jao,go !,,ʤao,,jouanne
ingested,,69,legacy:20220913-kvari:row:69,kvar,9153,bakʰri,goat,,bakʰri,,jouanne
ingested,,70,legacy:20220913-kvari:row:70,kvar,3550,koṭʰār,granary,,koʈʰa:r,,jouanne
ingested,,71,legacy:20220913-kvari:row:71,kvar,4471,gās,grass,,ga:s,,jouanne
ingested,,72,legacy:20220913-kvari:row:72,kvar,5670,tɔua,griddle,,tɔua,,jouanne
ingested,,73,legacy:20220913-kvari:row:73,kvar,11572,bāḷ,hair,,ba:ɭ,,jouanne
ingested,,74,legacy:20220913-kvari:row:74,kvar,14024,ātʰ,"hand, arm",,a:tʰ,,jouanne
ingested,,75,legacy:20220913-kvari:row:75,kvar,2978,kaṭʰɔ,hard,,kaʈʰɔ,,jouanne
ingested,,76,legacy:20220913-kvari:row:76,kvar,9926,mutkʰẽ,head,,mutkʰẽ,?,jouanne
ingested,,77,legacy:20220913-kvari:row:77,kvar,5239,ʣiu,heart,,ʣiuʷ,,jouanne
ingested,,78,legacy:20220913-kvari:row:78,kvar,8124,pʰenɔṛɔ,heel,,pʰfenɔɻɔ,?,jouanne
ingested,,79,legacy:20220913-kvari:row:79,kvar,3208,kukṛi,hen,,kukɻi,,jouanne
ingested,,80,legacy:20220913-kvari:row:80,kvar,9784,mɔ̄̃,honey,,mɔ͂:,,jouanne
ingested,,81,legacy:20220913-kvari:row:81,kvar,3906,kʰur,hoof,,kʰur,,jouanne
ingested,,82,legacy:20220913-kvari:row:82,kvar,12583,śiŋg,horn,,ʃiˑŋg,,jouanne
ingested,,83,legacy:20220913-kvari:row:83,kvar,4516,goṛɔ,horse,,goɻɔ,,jouanne
ingested,,84,legacy:20220913-kvari:row:84,kvar,4428,gɔr,house,,gɔr,,jouanne
ingested,,85,legacy:20220913-kvari:row:85,kvar,3167,kītti,how much/many,,kit:i,,jouanne
ingested,,86,legacy:20220913-kvari:row:86,kvar,992,haũ,I,,haũ,,jouanne
ingested,,87,legacy:20220913-kvari:row:87,kvar,9504,bitarɛ,inside,,bitərɛ,,jouanne
ingested,,88,legacy:20220913-kvari:row:88,kvar,4973,ʦētuṛɔ,kid,,ʦe:tuɻɔ,?,jouanne
ingested,,89,legacy:20220913-kvari:row:89,kvar,5670,toi,kind of frying pan used to make roṭi bread,,toiʲ,,jouanne
ingested,,90,legacy:20220913-kvari:row:90,kvar,10656,rosuigɔr,kitchen,,rosuigɔr,,jouanne
ingested,,91,legacy:20220913-kvari:row:91,kvar,4272,gulɔ,knee,,gulɔ,,jouanne
ingested,,92,legacy:20220913-kvari:row:92,kvar,2633,karci,ladle,,karʧi,,jouanne
ingested,,93,legacy:20220913-kvari:row:93,kvar,5573,ḍɔkēṇ,ladle,,ɖɔke:ɳ,?,jouanne
ingested,,94,legacy:20220913-kvari:row:94,kvar,5573,ḍaɔ̃kʰi,ladle,,ɖaɔ͂kʰi,?,jouanne
ingested,,95,legacy:20220913-kvari:row:95,kvar,4057,gābuṛɔ,lamb,,ga:buɻɔ,,jouanne
ingested,,96,legacy:20220913-kvari:row:96,kvar,7733,pāc,leaf,,pa:ʧ,,jouanne
ingested,,97,legacy:20220913-kvari:row:97,kvar,10896,ɔḷkɔ,light,,ᴐɭkᴐ,,jouanne
ingested,,98,legacy:20220913-kvari:row:98,kvar,4889,cunɔ,lime,,ʧunɔ,,jouanne
ingested,,99,legacy:20220913-kvari:row:99,kvar,5749,ṭāḷɔ,lock,,ʈa:ɭɔ,,jouanne
ingested,,100,legacy:20220913-kvari:row:100,kvar,5590,dilɔ,loose,,dilɔ,,jouanne
ingested,,101,legacy:20220913-kvari:row:101,kvar,9268,buṭɔ,male genital organ,,buʈɔ,,jouanne
ingested,,102,legacy:20220913-kvari:row:102,kvar,1268,ām,mango,,a:m,,jouanne
ingested,,103,legacy:20220913-kvari:row:103,kvar,4199,gɔdilɔ,mat,,gɔdilɔ,,jouanne
ingested,,104,legacy:20220913-kvari:row:104,kvar,4734,cācu,maternal uncle,,ʧa:ʧu,,jouanne
ingested,,105,legacy:20220913-kvari:row:105,kvar,9691,mũ,me,,mũ,,jouanne
ingested,,106,legacy:20220913-kvari:row:106,kvar,6391,dūd,milk,,du:d,,jouanne
ingested,,107,legacy:20220913-kvari:row:107,kvar,1143,āśi,mirror,,a:ʃi,,jouanne
ingested,,108,legacy:20220913-kvari:row:108,kvar,5137,ʣɔbṛɔ,molar,,ʣɔbɻɔ,,jouanne
ingested,,109,legacy:20220913-kvari:row:109,kvar,6908,neoḷ,mongoose,,neoˑɭ,,jouanne
ingested,,110,legacy:20220913-kvari:row:110,kvar,11515,bāndēr,monkey,,ba:nde:r,,jouanne
ingested,,111,legacy:20220913-kvari:row:111,kvar,1314,rāti,morning,,ra:ti,,jouanne
ingested,,112,legacy:20220913-kvari:row:112,kvar,9757,maʦɔ,mosquito,,maʦɔ,,jouanne
ingested,,113,legacy:20220913-kvari:row:113,kvar,10180,mūʦɛ,moustache,,mu:ʦʰɛ,,jouanne
ingested,,114,legacy:20220913-kvari:row:114,kvar,10158,mū̃,mouth,,mũ:,,jouanne
ingested,,115,legacy:20220913-kvari:row:115,kvar,14118,iluṛɔ,mud,,iluɻɔ,?,jouanne
ingested,,116,legacy:20220913-kvari:row:116,kvar,7067,náɔ̃,name,,náɔ̃,,jouanne
ingested,,117,legacy:20220913-kvari:row:117,kvar,12582,śiŋgaṇɔ,nasal mucus,,ʃiŋgaɳɔ,,jouanne
ingested,,118,legacy:20220913-kvari:row:118,kvar,7062,naɔ̃,navel,,naɔ̃,,jouanne
ingested,,119,legacy:20220913-kvari:row:119,kvar,13443,sivēṇ,needle,,siwe:ɳ,,jouanne
ingested,,120,legacy:20220913-kvari:row:120,kvar,3340,koḷɔ,nest,,koɭɔ,,jouanne
