pkh-1018-127,PKher,*banam,fiddle,"munda1968proto[p. 127, SEAlang record 1018]"
pkh-777-110,PKher,*bar-,two,"munda1968proto[p. 110, SEAlang record 777]"
pkh-255-69,PKher,*baru,kind of tree,"munda1968proto[p. 69, SEAlang record 255]"
pkh-485-88,PKher,*barɛ,brother,"munda1968proto[p. 88, SEAlang record 485]"
pkh-1028-127,PKher,*basaŋ,to boil,"munda1968proto[p. 127, SEAlang record 1028]"
pkh-775-109,PKher,*baŋ,no,"munda1968proto[p. 109, SEAlang record 775]"
pkh-786-110,PKher,*baɡi ~ *baɡɛ,to leave,"munda1968proto[p. 110, SEAlang record 786]"
pkh-486-88,PKher,*baɽɛ,indeed,"munda1968proto[p. 88, SEAlang record 486]"
pkh-762-108,PKher,*baʔ,to hook,"munda1968proto[p. 108, SEAlang record 762]"
pkh-1-51,PKher,*bi,to satiate,"munda1968proto[p. 51, SEAlang record 1]"
pkh-6-51,PKher,*bid,to plant,"munda1968proto[p. 51, SEAlang record 6]"
pkh-51-54,PKher,*bihur,to turn,"munda1968proto[p. 54, SEAlang record 51]"
pkh-53-55,PKher,*bindi(ram),spider,"munda1968proto[p. 55, SEAlang record 53]"
pkh-18-52,PKher,*bir,forest,"munda1968proto[p. 52, SEAlang record 18]"
pkh-49-54,PKher,*bituɟ,to show one's posterior,"munda1968proto[p. 54, SEAlang record 49]"
pkh-14-52,PKher,*biɲ ~ *biŋ,snake,"munda1968proto[p. 52, SEAlang record 14]"
pkh-166-62,PKher,*buhàl,to float,"munda1968proto[p. 62, SEAlang record 166]"
pkh-145-61,PKher,*bul,be intoxicated,"munda1968proto[p. 61, SEAlang record 145]"
pkh-198-65,PKher,*bulu,thigh,"munda1968proto[p. 65, SEAlang record 198]"
pkh-1421-151,PKher,*buluŋ,salt,"munda1968proto[p. 151, SEAlang record 1421]"
pkh-199-65,PKher,*buru,mountain,"munda1968proto[p. 65, SEAlang record 199]"
pkh-225-67,PKher,*burum,to lie down,"munda1968proto[p. 67, SEAlang record 225]"
pkh-196-64x2,PKher,*busaɽ,to burst,"munda1968proto[p. 64-2, SEAlang record 196]"
pkh-196-64,PKher,*busaʔ,to burst,"munda1968proto[p. 64, SEAlang record 196]"
pkh-213-66,PKher,*buɽuɟ,slippery,"munda1968proto[p. 66, SEAlang record 213]"
pkh-172-63,PKher,*buʈa ~ *ɡuʈa,"root, base","munda1968proto[p. 63, SEAlang record 172]"
pkh-139-60,PKher,*buʔ ~ *b(h)ùʔ,hole,"munda1968proto[p. 60, SEAlang record 139]"
pkh-289-72,PKher,*bìl,to spread (e.g. mat),"munda1968proto[p. 72, SEAlang record 289]"
pkh-298-73,PKher,*bìlì,testicles,"munda1968proto[p. 73, SEAlang record 298]"
pkh-66-56,PKher,*bìrìd~ *birid,to get up,"munda1968proto[p. 56, SEAlang record 66]"
pkh-313-74,PKher,*bùɡì,"good, get well","munda1968proto[p. 74, SEAlang record 313]"
pkh-572-94,PKher,*bɔaʔ,"huge, big","munda1968proto[p. 94, SEAlang record 572]"
pkh-550-93,PKher,*bɔda,he-goat,"munda1968proto[p. 93, SEAlang record 550]"
pkh-622-97,PKher,*bɔhɔʔ,head,"munda1968proto[p. 97, SEAlang record 622]"
pkh-588-95,PKher,*bɔkɔ,brother,"munda1968proto[p. 95, SEAlang record 588]"
pkh-589-95,PKher,*bɔlɔ,to enter,"munda1968proto[p. 95, SEAlang record 589]"
pkh-534-91,PKher,*bɔr,to take out (thread),"munda1968proto[p. 91, SEAlang record 534]"
pkh-644-99,PKher,*bɔrɔɽ,slippery,"munda1968proto[p. 99, SEAlang record 644]"
pkh-613-97,PKher,*bɔtɔɟ,loincloth,"munda1968proto[p. 97, SEAlang record 613]"
pkh-552-93,PKher,*bɔŋɡa,spirit,"munda1968proto[p. 93, SEAlang record 552]"
pkh-612-97,PKher,*bɔɖɔɟ,to squeeze,"munda1968proto[p. 97, SEAlang record 612]"
pkh-551-93,PKher,*bɔɛha,brother,"munda1968proto[p. 93, SEAlang record 551]"
pkh-518-90,PKher,*bɔɟ,to slip off,"munda1968proto[p. 90, SEAlang record 518]"
pkh-553-93,PKher,*bɔɽa,blunt,"munda1968proto[p. 93, SEAlang record 553]"
pkh-447-85,PKher,*bɛdrɛɟ,"tiny, small","munda1968proto[p. 85, SEAlang record 447]"
pkh-423-83,PKher,*bɛnta(r),to tie cloth on; turban,"munda1968proto[p. 83, SEAlang record 423]"
pkh-461-86,PKher,*bɛrɛl,raw,"munda1968proto[p. 86, SEAlang record 461]"
pkh-383-80,PKher,*bɛsra,kind of bird,"munda1968proto[p. 80, SEAlang record 383]"
pkh-382-80,PKher,*bɛɖa,lowland,"munda1968proto[p. 80, SEAlang record 382]"
pkh-408-82,PKher,*bɛɲɟaʔ ~ *hɛɲɟaʔ,rheum,"munda1968proto[p. 82, SEAlang record 408]"
pkh-372-79,PKher,*c/s(h)ɛr,to melt,"munda1968proto[p. 79, SEAlang record 372]"
pkh-1277-143,PKher,*caba,to finish,"munda1968proto[p. 143, SEAlang record 1277]"
pkh-89-58,PKher,*cacki,to cheat,"munda1968proto[p. 58, SEAlang record 89]"
pkh-872-116,PKher,*cacɔ̀,to walk (children),"munda1968proto[p. 116, SEAlang record 872]"
pkh-661-101,PKher,*cadlɔm ~ *caʔlɔm,tail,"munda1968proto[p. 101, SEAlang record 661]"
pkh-988-125,PKher,*cahab,to open mouth,"munda1968proto[p. 125, SEAlang record 988]"
pkh-885-117,PKher,*cakɔb,to bite,"munda1968proto[p. 117, SEAlang record 885]"
pkh-688-103,PKher,*cakɛ̀,heap of something,"munda1968proto[p. 103, SEAlang record 688]"
pkh-284-72,PKher,*campur,talkative,"munda1968proto[p. 72, SEAlang record 284]"
pkh-994-126,PKher,*capad,to step on,"munda1968proto[p. 126, SEAlang record 994]"
pkh-729-106,PKher,*capɔ̀,to touch,"munda1968proto[p. 106, SEAlang record 729]"
