Row,Language_ID,Form,Gloss,Phonemic,Parameter_ID,Evidence_Language_ID,Evidence_Form,Basis
2333,Murtazabad,ˈpʌči,cloth,ˈpɜtɕi,8400,NagarThol,ˈpʌči,same gloss + exact normalized phonemic form (stress ignored; corrected from 770)
2334,Haiderabad,ˈpʌči,cloth,ˈpɜtɕi,8400,NagarThol,ˈpʌči,same gloss + exact normalized phonemic form (stress ignored; corrected from 770)
2335,Ganish,ˈpʌči,cloth,ˈpɜtɕi,8400,NagarThol,ˈpʌči,same gloss + exact normalized phonemic form (stress ignored; corrected from 770)
2336,NazimabadUpperSust,ˈpʌči,cloth,ˈpɜtɕi,8400,NagarThol,ˈpʌči,same gloss + exact normalized phonemic form (stress ignored; corrected from 770)
2439,NazimabadUpperSust,niroˈnɑŋ,rainbow,n̪ir̪oˈn̪ɑŋ,1577,Domaaki,niroˈnɑŋ,same gloss + exact normalized phonemic form (stress ignored)
2534,Hussainabad,tom,tree,t̪om,13682,Domaaki,tom,same gloss + exact normalized phonemic form (stress ignored)
2535,Murtazabad,tom,tree,t̪om,13682,Domaaki,tom,same gloss + exact normalized phonemic form (stress ignored)
2536,Haiderabad,tom,tree,t̪om,13682,Domaaki,tom,same gloss + exact normalized phonemic form (stress ignored)
2537,Ganish,tom,tree,t̪om,13682,Domaaki,tom,same gloss + exact normalized phonemic form (stress ignored)
2538,NazimabadUpperSust,tom,tree,t̪om,13682,Domaaki,tom,same gloss + exact normalized phonemic form (stress ignored)
2539,UyumNagar,tom,tree,t̪om,13682,Domaaki,tom,same gloss + exact normalized phonemic form (stress ignored)
2540,Hoper,tom,tree,t̪om,13682,Domaaki,tom,same gloss + exact normalized phonemic form (stress ignored)
2579,YasinCenter,gʌmˈburi,flower,gɜmˈbur̪i,4015,Gupis,gʌmˈburi,same gloss + exact normalized phonemic form (stress ignored)
2580,ThuiYasin,gʌmˈburi,flower,gɜmˈbur̪i,4015,Gupis,gʌmˈburi,same gloss + exact normalized phonemic form (stress ignored)
