Status,Reason,PDF_Page,Printed_Page,Entry,Raw_Form_POS,Form,POS,Definition,Mean_Confidence,Low_Confidence_Tokens,Entry_Key,Emitted_Keys,Rejected_Forms,Review_Flags
ocr_unreviewed,source transcription requires human verification,146,138,12,ittige N.,ittige,N.,brick.,68.55,ittige,ghatage-kasargod1970:p138:e12,ghatage-kasargod1970:p138:e12,,low-confidence
ocr_unreviewed,source transcription requires human verification,146,138,13,ițtteņi F.,ițtteņi,F.,ladder.,82.30,ițtteņi,ghatage-kasargod1970:p138:e13,ghatage-kasargod1970:p138:e13,,low-confidence
ocr_unreviewed,source transcription requires human verification,146,138,14,itte Adv.,itte,Adv.,here.,94.87,,ghatage-kasargod1970:p138:e14,ghatage-kasargod1970:p138:e14,,
ocr_unreviewed,source transcription requires human verification,146,138,15,injini N.,injini,N.,engine.,86.27,,ghatage-kasargod1970:p138:e15,ghatage-kasargod1970:p138:e15,,
ocr_unreviewed,source transcription requires human verification,146,138,16,irgəli V.,irgəli,V.,to bloom.,94.72,,ghatage-kasargod1970:p138:e16,ghatage-kasargod1970:p138:e16,,
ocr_unreviewed,source transcription requires human verification,146,138,17,irjəņi N.,irjəņi,N.,curds.,78.24,irjəņi,ghatage-kasargod1970:p138:e17,ghatage-kasargod1970:p138:e17,,low-confidence
ocr_unreviewed,source transcription requires human verification,146,138,18,irde N.,irde,N.,"heart, chest.",95.99,,ghatage-kasargod1970:p138:e18,ghatage-kasargod1970:p138:e18,,
ocr_unreviewed,source transcription requires human verification,146,138,19,irdeče gu:du N.,irdeče gu:du,N.,rib.,87.38,,ghatage-kasargod1970:p138:e19,ghatage-kasargod1970:p138:e19,,
ocr_unreviewed,source transcription requires human verification,146,138,20,ivače ka:ļł N.,ivače ka:ļł,N.,winter.,84.68,ka:ļł,ghatage-kasargod1970:p138:e20,ghatage-kasargod1970:p138:e20,,low-confidence
ocr_unreviewed,source transcription requires human verification,146,138,21,iskəri V.,iskəri,V.,"to furrow, to scrape.",94.45,,ghatage-kasargod1970:p138:e21,ghatage-kasargod1970:p138:e21,,
ocr_unreviewed,source transcription requires human verification,146,138,22,istri pəțti F.,istri pəțti,F.,the iron.,85.81,pəțti,ghatage-kasargod1970:p138:e22,ghatage-kasargod1970:p138:e22,,low-confidence
ocr_unreviewed,source transcription requires human verification,146,138,23,iki N.,iki,N.,poison.,73.99,iki,ghatage-kasargod1970:p138:e23,ghatage-kasargod1970:p138:e23,,low-confidence
