CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
2932,pea,,,,kɔlaj,,kalaj,,
2712,banana,kɛla,kʌlʌ,kʌlʌ,kɛla,kɔlɔ,kɔla,kɔla,kɔl
3103,liver,kəlɛʤa,kʌlinʤa,kʌlʤia,koiɮā,"koʎzā, koɮā",koɮæ,,koliza
,oath,kəsəm,,kʌsʌm,kɔʃom,,kɔsõ,,
2757,elbow,kənja,konʱia,,"kɛheni, keni nuŋul",,,,
3202/3203+2757,,,,kilkani,,kilkani,"kolkunʲæ, korkunæ",kilkæni,tilkani
3007,glass,kãʧ,,,kaiʧ,kais,kãs,kais,
2598,comb,kako,kãko,"kaku, kako",,kaxoi,"kakoi, kãkai",kaxoi,
,scorpion,,bis-kãkʌr,bis-kakʌr,,,kaxɽa,kaxɽa,
2668,"thorn (generic), sting",kãʈʌ,kãʈa,kaʈə,kaʈa,kaʈa,kaʈa,kaʈa,kaʈa
13627,shoulder,kaŋ,kaŋ,kaŋ,kaŋ,,,"kan, kantʰ",
2680,river bank,,,,,,kainʈʲæ,"kainʈʲæ, kanʈa",
2993,crow,kʌwa,"kʌuwa, kəhuwa",kəuha,kuwa,kauwa,kauwʲæ,kauwʲæ,kauwa
2588,armpit,kakt̪i,kakli,kaxli,kakli,panzar,kak,pʰakt̪ani,"pʰatkuli, pʰaŋkuli"
2604,poor,kəŋal,kaŋal,,,"kaŋgal, kaŋal",,,kaŋal
2866,sickle (for harvesting rice),kəʧia,kɛʧia,keʧia,koiʧa,kasi d̪aw,"hasuwʲæ, haisʲæ, kaiso",kaʦi,kasi
2588,"near, close, beside",,,,kaʧʰot̪,,"kase, kaʦe",,kapot
2858,knife,,,,,,kaʈair,,katari
3120,stick,kaʈʰi,,,,,kaʈi,,
,jackfruit,kʌʈʰəl,kʌʈʰʌl,"kʌʈʰʌl, koʈʰwal",kɔʈʰɔl,kaʈʰol,kaʈol,kaʈol,katʰɔl
2853,knife,,kat̪i,kat̪i,kat̪i,,,,
2869,"mud, mire",kad̪o,kad̪ʌ,kad̪ʌ,kad̪a,kad̪o,kad̪o,kad̪o,kadɔ̃
2830,ear,kan,kan,kan,kan,kan,kan,kan,kan
3019,nostril,,,kana,naker kana,,,,
3019,blind,kana,kana,kana,kana,,kana,kana,
2877,cotton,,,kapas,,karpaʃ,,kapaʃ,kapas
2871,"clothes, clothing",kəpra,,kapra,,"kaɸor, kapɛɽa, kapɛra","kapra, kapɽa",kapor,"kapur, kaɸur"
2774,rib (of the chest),,,,,,,kami hæruæ,kamihar
2898,blacksmith,,,kumʱar,kamʱar,kamar,kamar,kamar,kamar
3057,because,karən,,karʌn,"karʱon, kahron",kaɽɔn,,karon,karɔn
2685/2686,husk (as of rice grain),kərwan,kʌrwan,,kari,karani,,,
3083,black,"kalʌ, kəlua",kalʌ,kalʌ,kalo,kala,kala,kala,kala
