CDIAL,Gloss,KS,RL,MH,TH,SH,RP,BH,BN
7621,ripe,pəka,"paka, pakal",paka,paka,paxa,"pak-, paka",paxa,poka
7627,feather,pəkʰina,pɛkʰna,pɛxna,"paxa, poxina",paxɛna,"paka, pakna","paxa, paxna",paxa
7627,"towards, in the direction of",,,,,paxe,pake,,
7990,"behind, at the rear",paʧʰu,"paʧʰu bi-t̪i, paʧa-t̪i, paʧʰu-t̪","paʧʰu-t̪-i, paʧʰu-t̪",,pasot̪,"paser, pasot̪","pasilʲæ-t̪, pas-ot̪","pasɔt, pasɸale"
8007,west,pəʧʰim,pʌsʧʰim,"paʧʰa, pʌʧʰim",poʧʰim,poʦʰim,posim,poʦim,posim
,buttocks,,,,,pasiʎa,pasʎæ,,
7699,gums,,,,,paɽi,,paʈi,"dat-ɔr bilai, pilai"
7736,thin,pət̪la,pat̪la,pat̪la,pat̪la,pat̪ɛla,pat̪la,pat̪la,"patla, patala"
,eyelid,,pʌt̪a,pət̪a,pat̪a,pat̪a,pat̪a,pat̪a,pata
,sole (of the foot),,,,,pat̪a,,pat̪a,
7733,leaf,pət̪i,"pat̪i, pʌt̪ʰʌi, pat̪ari","pat̪a, pat̪ari",pat̪,"pat̪, pit̪ari, pit̪aɽi","pat̪ai, pɑt̪a, pat̪i",pat̪,pat
8857,stone,pət̪ʰəl,"pʌt̪t̪ʰʌl, pat̪ʰʌl, pat̪ʰəl",pat̪ʰʌl,pat̪ʰor,,pat̪or,pat̪or,patʰɔr
8082,water,pani,pani,pani,pani,pani,pani,pani,pani
7638,eyelash,pupni,pupni,,,,papri,,baburi
8100,sheet (that covers a bed),,,,,paroni,,parni,
8109,pigeon,pɛrwa,"pɛrwa, pɛru",parʱu,paro,paro,pajra,paro,parɔ
8125,"flock (of goats, sheep)",,,,,pal,pal,pal,pʱɛrar pal
8141,"mountain, hill, river bank",pəhar,pəhaɽ,pəhaɽ,pahar,"par, pahar","par, paɽ, pahar, pahaɽ",pahar,"par, pahar"
8672,wheel,pəhia,,pahia,,,,,
8197,"wears, puts on (clothes)",pinʱ-,pinʱ-,pinʱ-,pinʱ-,pind̪-,pend̪-,"pend̪-, pind̪-",pind-
8370,back,piʈʰi,piʈʰi,piʈʰi,piʈʰi,piʈʰi,piʈi,piʈi,pitʰi
8184,brass,pit̪əl,pit̪ʌl,pit̪əl,pit̪ɔl,"pit̪ol, pit̪ul",pet̪ol,pit̪ol,pitɔl
8240+3193,"insect, a worm, a grub",pilu,pilu,,,,"pikirʲæ, pikɽʲæ",pikirʲæ,
9028,spleen,piləi,,,,pilai,pilæi,pilæi,pilai
8386,"grinds, squashes",pis-,pis-,pis-,piʃ-,piʃ-,"peʃ-, piʃ-","peʃ-, piʃ-",
8352,asks,puʧʰ-,"puʧʰari, pusari kʌr-, puʧʰ-",puʧʰ-,puʧʰ-,pus-,pus kɔr-,"pos-, pus-",pus-
8335,buries (a corpse),,,,,,"pot̪-, put̪-","pot̪-, put̪-",put-
8343,east,purəb,purub,purʌb,pub,puw,pub,pub,pub
8330,full,pura,pura,,,,purʲæ,,pura
8330,"full, complete",pura,pura,pura,,,purʲæ,purok,pura
8283,old,purna,purna,punna,punna,puran,,purʲæni,
8289,male,purus,,purus,,,,,
,bridge,pul,pul,pul,pul,pul,pul,pul,
8408,tame,pusa,,,puʃa,puʃa,"poʃa, puʃi, poʃmunæ",poʃa,puha
,green,,pɛŋsia,pɛŋsa,,,,,
8376,"stomach, belly",pɛʈ,pɛʈ,peʈ,,pɛʈ,pæʈ,pɛʈ,pɛt
8222,molar,,,,,piɽir d̪at,piɽi,perir d̪at̪,
8783,cowherd's stick,,,,,,penʈi,penʈi,
8393,"insect, worm, snake",poka,pʌka,pʌka,pɔka,poxa,poka,"poka, poɣa",poka
,dawn,,,,pohat̪,,ait̪ poise,rat̪i pua,rati pua
8056,quarter,pua,pʌuwa,pua,pua,,poa,poa,
9038,"shining, clear",,,pʰʌʈpʰʌʈ,,,,pʰɔʈpʰoʈa,
,memory,pʰʌm,pʰʌm,pʰʌm,pʰɔm,pʰɔm,pʰɔm,pʰɔm,
8398,nostril,,,"naker pʰʌrʌŋ, pʰiŋ",naker bin,naker pʰoroŋ,naker pʰoroŋ,,
9051,fruit,pʰʌl,pʰʌl,pʰʌl,pʰɔl,pʰɔl,pʰɔl,pʰɔl,pʰɔl
,many,,,,,pʰajk,,pʰajk,
9072,ploughshare,pʰal,pʰal,pʰal,ɸal,pʰal,"pʰala, pʰali",pʰal,pʰal
,"faint, swoon",,,,pʰiʈ,pʰiʈ,pʰiʈ,,
9078,again,pʰɛr,"pʰɛr, pʰɛno",pʰer,pʰer,pʰir,pʰir,"pʰiɽ, pʰir",
9092,flower,pʰul,pʰul,pʰul,pʰul,pʰul,pʰul,pʰul,pʰul
9100,straw (used for thatching a roof),,pʰus,pʰus,,,,,
9090,lung,pʰɛpra,pʰɛpsa,pʰɛpsa,"pʰɛpʃa, pʰɛʃpa","pʰuʃpʰuʃ, pʰeʃʃa","pʰuʃɸuʃi, pʰæpɽa","pʰuʃpʰuʃ, pʰapra",
11208,crocodile,bʌ̃ʧʌ,bʌ̃ʧʌ,,bɔʧa,,,,
9125,jujube tree and its small plum-like fruit/berry,bəir,bʌir,,boir,,borai,,
9312,goat,bəkri,,,bokri,,bokri,bokɽi,
,armpit,,,,,,bɔgol,,
,"near, close, beside",bəgəl,bʌgʌlʌt̪,bʌglʌt̪,bɔglot̪,bɔɣɔl,bɔgolot̪,bɔgolot̪,
11242,year,bəʧʰər,bʌʧʰʌr,bʌʧʰʌr,bɔʧʰor,,bɔsor,,"bɔsɔr, posɔr"
11225,big,"bʌrʌ, bərka","bʌɽʌ, bərka",bʌɖʌ,"bɔɖɖo, bɔɽʱo, bɔro",bɔɖɖʱɔ,"bɔɽo, bɔro",bɔɽo,"bɔrɔ, porɔ"
,instead of,bəd̪ələt̪,bʌd̪lat̪,"mor bʌd̪li, bʌd̪la, bʌd̪l-i-t̪",bɔd̪ole,bɔd̪ɔl,bɔd̪ɔle,"bɔd̪olɛ, bɔd̪olot̪","bodole, bodoli"
11567,cloud,"bad̪əl, bəd̪əl-i",,bʌd̪li,,,,,
11258,forest,bən,bʌn,bʌn,bɔn,,bɔn,,
9144 (Ts.),friend,,,,,bond̪ʱu,bond̪u,bond̪u,"bondʱo, pondʱu"
,"forest-dwelling, wild",bənua,bʌnɛjã,,bɔn,bonua,,,"bonua, ponua"
11497,"wind, breeze, air",bəjar,bʌjar,,,,,,
,"ice, snow",bərəɸ,bərʌɸ,bərəɸ,bɔroɸ,"bɔrɔɸ, borɔɸ",bɔroɸ,"bɔroɸ, bɔrop","borɔɸ, porɔp"
11392,rain,,bʌrsa,bʌrsa,,bɔʃʃɔn,,,"boro-χun, poro-χun"
9123,spear,,,,,bɔʃʃa,bɔrʃa,,
,mucus,,,,,,bɔʃt̪i,boʃti,
11448,village,bəst̪i,,bʌst̪i,bost̪i,,,,
11453,blows (wind),"bʌhʌ-, boho-",bʌhʌ-,"bʌhʌ-, bʌho-l",bɔho-,bɔ-,bɔ-,,
9190,many,,bʌhut̪la,,,"bɔut̪, bɔhut̪",,,
9187,many,,,,,,,,"bohu, pohu"
11466,or,ja,"ja, ja-t̪ɛ","wa, ja",,,ba,"naile, ba",ba
,horn,,"bãsi, bʌsli",basi,baʃi,,baʃi,,
11175,bamboo,bãs,bãs,bas,baʃ,baʃ,bãʃ,baʃ,bas
11533,left (hand),bãja,bãja,bãja,"bɔ̃ja, bɔja",,"bãe, bão","bao, baŋ","bao, pao"
11236,thumb,bəŋʈʰa,bɛŋʈʰa aŋul,,,,,,
9140,ties,banʱ-,band̪ʱ-,banʱ-,band̪ʱ-,band̪-,band̪i t̪ʰɔ-,band̪-,bandʱ-
11503,eggplant,bəjgən,bɛgʌn,bɛgʌn,begun,bajɣon,bajgon,bajgon,baɣɔn
11418,bark of a tree,,,bakla,,baxɛla,"bakla, bakɔl","bakla, baxla",bakla
,rainbow,,,bakɖumka,,bag-d̪ʱenuk,bagd̪ʱoɳu,bag-d̪ʱonuk,
,garden,,bagan,bəgan,bagan,baɣan,bagan,baɣan,baɣan bari
,garden,bəgiʧa,bʌgiʧa,,,,,bagiʦʲæ,
12193,tiger,bag,bag,bag,bag,bak,bag,bak,bax
11196,cotton,baŋa,,,,,baŋa,"baŋi, baŋa",
11239,"short, young",,,baʧa,,,,basa,
11241,"calf, colt, young bull or goat",,"baʧʰ-i, baʧʰ-a","baʧʰa, baʧʰi",baʧʰur,basur,basur,basur,
11480,house,,baɽi,baɽi,baɽi,baɽi,"baɽi, baɭi",,
,talk,,,boli,,,,,
11493,"wind (high), storm",,"bʌt̪as, bət̪as",,bat̪aʃ,,bat̪aʃ,bat̪aʃ,batas
,groundnut,ʧinia bəd̪am,"bʌd̪am, ʧinia bʌd̪am",bəd̪am,bad̪am,bad̪am,bad̪am,"bad̪am, pad̪am","badam, padam"
,brown,,,,bad̪ami,bad̪ami,bad̪ami,bad̪ami,
,for,,bad̪ɛ,bad̪ɛ,,bad̪e,bad̪e,bad̪ɛ,
11278,flood,ban,,,ban,bana,ban,ban,"ban-pani, pan-paɲi"
,goldsmith,bənia,bania,bania,bania,bania,baniæ,baniæ,
11515,monkey,bənd̪ər,"band̪ʌr, band̪ər",band̪ʌr,band̪ɔr,band̪ɔr,band̪or,band̪or,"bandɔr, pandɔr"
6658,twelve,barʌ,barʌ,barʌ,barɔ,"baɽo, baro",baro,baro,barɔ
11396,the rainy season,bərsat̪,bʌrsat̪,bʌrsa,"bɔrʃa, bɔʃʃa kal",baiʃʃa,baiʃʲæ,baiʃʲæ,borsa
11580,sand,balu,balu,balu,balu,bala,"bala, bali, balu",bala,"bala, pala, balu"
11544,"wind, breeze, air",,baw d̪ali,baw,baw,baw,baw,baw,
,whirlwind,,,,,,baw kunʈʲæ,baw kunʈʲæ,
11592,"smell, scent",,,,,baʃɛna,baʃna,,
9229,arm (upper),bah,baha,"bahʌ, bahu",baha,baha,,baha,
9226,outside,bahar,"bahər, bahar-ʌt̪, bahar-t̪i",bahirʌt̪,bahirot̪,"bajɽa, bajra",bair,bairʲæ,"bahir, pahir, bahirɔt, pahirɔt, bahizat, pahizat"
12042,"between, middle",biʧ,biʧ-ʌt̪,biʧ-ʌt̪,,,,,
,penis,,,biʧa,biʧa,,,,
9261,seed,biʧən,biʧi,"biʧʌn, biʧi","biʧɔn, biʧon",bisi,"biʦi, bisi, beʦon",biʦi,
12081,scorpion,biʧu,,,biʤu,,"bisu, biʦu",,"bisa, pisa"
11691,sheet (that covers a bed),biʧʰna,biʧʰna,bisna,biʧʰani,,"biseni, bisnæ",bisiɳæ,
11772,"deprived of, without",bina,bina,bina,bina,,,binʲæ,
9240,needle,,,,,bind̪i,,bind̪i,
,danger,,,,bipɔd̪,bipɔt̪,bepod̪ apod̪,,bipɔt
9237,cat,bili,bila,bilai,bilai,bilai,bilæi,bilæi,
,guava,bilat̪i,bilat̪i,bilat̪i,bilat̪i,,,,
11968,poison,,bis,bis,biʃ,biʃ,biʃ,biʃ,bis
,pain,bis,bis,bis,biʃ,biʃa,biʃ,biʃ,bis
11990 (Ts.),"excrement, faeces",,bisʈa,,,,,,"bistʰa, pistʰa"
9305 (Ts.),Thursday,,"brɛspʌt̪bar, brɛspʌt̪iβar",bist̪iβar,biʃud̪bar,bist̪iβar,"beʃot̪bar, beʃot̪",bist̪iβʲær,"bistibar, brihɔspotibar"
11813,dawn,bɛhan,bɛhan,behan,,,"biæn, biæŋ-ga, biæŋ-ka",biæn,"bihane, pihane"
11924,married person,bɛhal,,"bɛha-t̪i-lok, bɛha-d̪ar-a, bɛha-d̪ar-i",bihat̪i,,,biæo howa manʃi ,
12064,chest,buk,buk,buk,buk,buk,buk,,buku
9297,"chickpea, gram",,,,buʈ,,buʈ,buʈ,but
9271,thumb,,,buɖʱa,burʱa,,buri,buɽi,
,"old age, old person",burʱa,burʱa,buɖʱa,burʱa,"buɽʷa, buɽʷali",buɽæ,burʲæ,"burʱa, bura, pura"
,Wednesday,bud̪,bud̪ʱbar,bud̪ʱbar,"bud̪ʱubar, bud̪ʱuβar",bud̪bar,bud̪bʲær,bud̪bʲær,budbar
11773,"weaves, plaits (without needle)",bun-,,bun-,t̪ãt̪ bun-,,,"bon-, bun-",
11914,"crooked (not straight), twisted, bent","bɛka, bɛki",bɛka,bɛka,bɛka,,,,"beka, peka"
12159,frog,bɛŋ,bɛŋa,bɛŋ,bɛŋ,bɛŋ,bæŋ,bɛŋ,bɛŋ
,male,,,,bɛʈaʧʰua,bɛʈasawa,bæʈasawa,bɛʈasawa,
,female,,,,beʈiʧʰua,beʈisawa,beʈi-ʦʰæwa,beʈisæwa,
,"married woman, wife",bɛrʧʰəni,bɛrʧʰani,bɛʧʰani,beʧʰani,,,,
,wall (bamboo),,bɛrʱa,,,,bæɽa,bɛra,"bera, pera"
,leech,,,,,,,bɛd̪lɛŋ,"bɛdlaŋ, pɛdlaŋ"
12115,sun,bɛla,bɛla,bɛla,bɛla,bɛla,bæla,bɛla,"bɛla, pɛla"
,dawn,bɛla-uʈʰ-a,bɛla-uʈʰ-a,,,,bæla uʈse,,
,sunset,bɛla ɖuba,bɛla ɖuba,bɛla ɖub-,bɛla ɖuβa,bɛlaɖuβa,bæla ɖubse,bɛlaɖuβæ,"beladuβa, peladuβa"
,excessive,bɛsi,"bɛsi, bɛsik",besi se besi,,,"beʃi, bɛʃ",beʃi,
9175,"bullock, ox",bəjl,bʌjl,bʌjl,,,,,
9263,"stupid, foolish",bʌka,,,,,boka,,
9315,perhaps,,,,,bod̪ʱaj,,bod̪ɔj,
,dumb,,,,,boβa,boβa,boβa,boba
9532,blunt (knife),"bʱʌt̪ra, bʱʌt̪t̪a",bʱʌt̪ra,bʱʌt̪ra,bʱɔt̪ra,bʱɔt̪ora,bʱot̪ra,bʱot̪ora,pʱɔtɔra
9397,"full, complete",,bʱʌral,bʱʌral,bʱɔra,,,"bʱɔra, pʱɔra",
9397,"full, complete",,,,bʱot̪t̪i,bʱot̪t̪i,bʱot̪i,,
9331,rice (cooked),bʱat̪,bʱat̪,bʱat̪,bʱat̪,bʱat̪,bʱat̪,bʱat̪,pʱat
9223,steam,bʱap,bʱap,bʱap,"b̤ʰap, baɸ",bʱap,bʱap,bʱap,pʱap
9459,heavy,bʱari,bʱari,bʱari,bʱari,,bʱari,,pʱari
9408,good,,,bʱalʌ,bʱalo,bʱal,"bʱal, bʱal-ɔt̪",bʱal,pʱal
,many,bʱələla,bʱɛlɛla,bʱɛlɛla,bʱella,,,"bʱaʎʎæ, bʱalɛla, bʱale-giʎæ",
9415,bear,bʱalu,bʱaluk,bʱaluk,bʱaluk,,bʱaluk,bʱaluk,pʱalu
11591,nest,,,,bʱaʃa,bʱaʃa,bʱaʃa,bʱaʃa,baha
9502,"wet, damp, moist, humid",bʱiʤa,bʱiʤal,bʱiʤa,bʱiʤa,bʱizʲa,bʱiʣʲæ,bʱiʣʲæ,pʱiza
9504,inside,bʱit̪ər,"bʱit̪ʌr, bʱit̪r-ʌt̪",bʱit̪rʌt̪,"bʱit̪ɔr, bʱit̪rot̪",bʱit̪ira,"bʱet̪or, bʱet̪rot̪",bʱit̪rʲæ,pʱitɔrɔt
9493,"towards, in the direction of",bit̪i,"bit̪i, t̪i",t̪i,t̪i,,bʱit̪i,bʱit̪i,
9498,separate,,bʱinɛ,bʱinɛ,,,,,
,separate,,,,,,,"pritʰɔk, pirtʰɔk",
9516,timid,,,,bʱiru,,,,pʱiru
9557,land,,bʱumi,bʱui,,,bʱũi,bʱui,"pʱumi, pʱuŋi"
9265,barks (as a dog),bʱuk-,bʱuk-,bʱuk-,,bʱux-,bʱok-,bʱok-,pʱuka
9530,intestines,bʱuʈi,,bʱuʈi,bʱuʈi,naɽibʱuʈi,bʱuɽi,,
9538,"error, mistake, wrong",,,bʱul,bʱul,bʱul,bʱul,"bʱul, pʱul",pʱul
9293,"husk (as of rice grain), chaff",bʱusi,bʱusa,"bʱus, bʱusa, bʱusi",bʱuʃi,,bʱuʃi,bʱuʃi,
9557,"earth, soil, clay, dust, land",,,"bʱui, bʱumi",,,bʱũi,,
9601,"crooked (not straight), twisted, bent",,,,,bʱɛxɛra,bʱækɽa,bʱɛkra,pʱɛŋkura
9606,sheep,bʱɛra,bʱɛɽa,bʱɛɽa,bʱɛra,bʱɛra,bʱæɽa,"bʱɛɽa, bʱɛra",pʱɛra
9964,buffalo,bʱəĩsə,bʱʌ̃is,bʱʌis,"bʱũʃ, bʱuʃ, bʱũiʃ, bʱuiʃ","bʱoiʃ, moiʃ","bʱoĩʃ, moiʃ",bʱoiʃ,pʱois
9286,hunger,bʱok,bʱok,bʱok,bʱok,bʱok,bʱok,bʱok,pʱok
9634,"daybreak, just before dawn",bʱor,bʱor,bʱor,bʱor,bʱor,bʱor,"bʱor, pʱor",
9688,eyebrow,bʱru,bʱura,bʱura,bʱura,"βṳɽu, bʱuru","bʱuɽu, bʱuru","bʱur, bʱuru",pʰru
,Tuesday,mʌŋʌl,mʌŋgʌl-bar,mʌŋgʌlbar,mɔŋgolbar,mɔŋgɔlβar,mɔŋgolbar,mɔŋgolbar,"mɔŋɔlbar, moŋɔlbar"
9755,"harrow, ladder used to level ground",moj,,moj̃,moj,moj,moj,moj,moj
,brain,,,,mɔŋgoʧ,mɔxɔs,mɔgoʣ,,mɔgozu
9757,mosquito,məʧʧʰər,məʧʧʰʌr,"mʌʧʰʌ, rat̪kar mʌʧʰʌ",,,,,
9724,pea,məʈər,mʌʈʌr,mʌʈʌr,mɔʈor,mɔʈɔr,,mɔʈor,mɔtɔr
,"sense, meaning",mət̪ləb,mʌt̪lʌb,,,,,,
9773,alcohol,,"mʌd̪, mʌt̪",mʌt̪,mɔd̪,mɔt̪,mɔd̪,"mɔt̪, mot̪",
9822,heart,mʌn,mʌn,mʌn,,,mɔn,,
9875,chilli,mərʧin,"moiʧin, mʌrʧin","mʌrʧi, mʌrʧin",moriʧ ,moɽus,"morus, moris",morus,
,male,mərəd̪,morʌd̪,,mɔrod̪,,,,
9869,dying,mʌrʌn,,mʌrʌn,"mɔra, mɔron",mɔra,"mɔron, mɔrse, mɔsse",mɔron,"mɔrɔn, morɔn"
9784,honey bee,məu maʧʰi,mʌd̪ʱu maʧʰi,mʌhu maʧʰi,mɔho maʧʰi,mou mʷasi,mou masi,mou masi,mou maxi
9784,honey,,mʌd̪ʱu-rʌs,"mʌd̪ʱu, mohur rʌs",,mod̪ʱu,mod̪ʱu,mod̪u,modʱu
9883,spider,mʌxra,"makra, məkra",makra,"makra, makoʃa, makroʃa",maxɛɽa,makra,maxɽa,maxra
9749,"insect, a worm, a grub",,makur,,pɔkamakɔr,,,makor,
9879,maize,məkəj,mʌkka,makaj,makaj,maxoj,,,makoj
10378,butter,məkkʰən,,mʌkkʰʌn,,maxom,makon,maxon,maxɔn
999,10th month of the Hindu calender,mag,mag,mag,mag,mak,mag,mak,max
9758,fish,maʧ,maʧʰ,maʧʰ,maʧʰ,mas,mas,mas,mas
9758,fisherman,məʧʰwar,mʌʧʰwar,maʧʰuar,maʧʰuar,masua,masuwʲæ,masuwʲæ,masua
9696,fly,,maʧʰi,,maʧʰi,masi,"masi, maʦʰi ",masi,maxi
9712,marrow,,,,,,maʣa,maʣa,moʣa
9804,"between, middle",,,,maʤʱot̪,,"maʣot̪, maʦe","mazot̪, mazilʲæt̪",mazɔt
10286,"earth, soil",maʈi,maʈi,maʈi,maʈi,maʈi,maʈi,maʈi,"mati, matʰi "
9926,head,mat̪ʰa,mat̪ʰa,mat̪ʰa,mat̪ʰa,mat̪ʰa,mat̪a,mat̪a,matʰa
9828,"human, person",,"mansi, mansi-la",manus,manuʃ,manʃi,manuʃ,manʃi,manu
,"sense, meaning",manɛ,manɛ,mane,,mane,mane,,
9857,agrees,manʱ-,,manʱ-,,,man-,man-,
,forgiven,maɸi,maɸ,maɸ,,maɸ,map kɔra,map,"maɸ, map"
,female,,,,"majjã, mai ",,,majo,
10104,month,,mas,mas,maʃ,maʃ,maʃ,maʃ,
9984,gums,məsura,məsura,,"maʃura, maʃkura",,maɽi,,
9982,meat (flesh),mãs,masu,masu,,mɔʃɔŋ,maŋʃo,mɔʃoŋ,maŋsɔ
10130,lie (untruth),,miʧʰamiʧʰi,"miʧʰamiʧʰi, mit̪t̪ʰa","miʧʰa, mit̪t̪ʰa",miʦʰa,"misʲæ, mit̪t̪a","misʲæŋ, misʲæ",misa
10299,sweet,miʈʰʌ,miʈʰʌ,miʈʰʌ,"miʈʰo, miʃʈʰi",,,miʈʲæ,mitʰa
10299,sugar (brown),miʈʰa,,miʈʰaj,,miʈʰaj,miʈʲæj,miʈʲæj,
,thin (stick),,,mihi,mihi,,,,
,I,mui,mui,mui,mui,mui,mui,mui,mɔɛ
10158,mouth,muk,mukʰ,mukʰ,mukʰ,muk,muk,muk,mux
,"in front (of), facing",muxa-muxi,,muxa-muxi,muxamuxi,,mukʲa-muki,,
,leather worker,,,,muʧi,musiar,"musi, muʦi",muʦiær,musi
10221,"fist, clenched hand",,muʈʈʰi,muʈʈʰi,"muʈʰ, muʃʈʰi",muʈʰi,"muʈ, muʈʲæ",muʈi,mutʰi
10234,urine,mut̪,mut̪,mut̪,mut̪,"mut̪, mu",mut̪,mut̪,mut
,corpse,murd̪a,murd̪ar,,mud̪d̪ar,,,,
,"chicken, cock, rooster","murgi, murga","murg-i, murg-a","murg-i, murg-a","murgi, mugi, murga, muga","murgi, murgʷa","murgi, murug, murgʲæ","murgi, murgʲæ",murgi
,"faint, swoon",murʧʰa,,murʧʰa,,,,murʦʲæ,"mursa, mussa"
10250,root,mul,,,,mul,mul,,
10258,"rat, lives in fields (or house), harvest rat","musa, musu",mus,,,,,,
9920,"ashes, soot",mus,musi,musi,muʃ,,,,
10302;10304,cloud,,mjɛg,meg,"mɛg, meg, mɛgʱla",mɛk,"mæg, mægla","mɛk, mɛgali",mɛx
10331,many,,,,mɛla,mɛla,mæla,mɛla,
,comb,,,,,,,mɛska,mɛska
10180,moustache,moʧ,moʧ,moʧ,moʧ,mos,mos,mos,mos
10187,fat,moʈo,moʈo,mʌʈʌ,mɔʈa,moʈa,"moʈa, moɽa",moʈa,mota
10279,corpse,,,,,"moɽa, mora",moɽa,mora,mora manuh
,lake (ox-bow),moni,moni,muni,muni,,,,
9917,mosquito,,,,"mɔʃa, mɔʃo",mɔʃo,moʃa,moʃa,mohɔ
9904,dirty,,mojla,,mɔjla,mojla,mojlʲæ,mojlʲæ,mɔjla
11172a,iron,lua,luha,luha,luha,noha,nowa,"noha, noa",loha
11159,blacksmith,luhar,luhar,,,,,,
10875,firewood,ləkri,lʌkri,lʌkri,lokri,,,,
,"near, close, beside",,"lʌɣ-ʌt̪, lʌk-t̪-ɛ",lʌg-ʌt̪,lɔɣot̪,"nɔɣot̪, naɣa",nɔgot̪,nɔgot̪,lɔɣɔt
10951,"long, tall",ləmba,lʌmma,"lamba, lamʌ","lɔmba, lamba",,nɔmba,,
10910,"shame, sense of modesty",laʤ,laʤ,laʤ,loiʤʤa,nɔzza ,"nɔʣʣa, naʣ",nɔʣʣa,las
10991,stick,laʈʰi,laʈʰi,laʈʰi,laʈʰi,naʈʰi,naʈi,naʈi,latʰi
11027,saliva,lalʤʰol,lal ʤʰol,"lal, ral",lal,nal,"nala, nælʈa",nala,lalta
,red,lal,lal,lal,"lal, nal",nal,nal,nal,lal
11029,greed,laləʧ,lalʌʧ,lalʌʧ,,,,nalos,
,temptation,,"lalsa, lalʧia",,,nalɔʃ,nalʃa,naloʃ,lalosa
,corpse,,ləhas,las,,naʃ,naʃ,,
,ant,,,luʈi,,nuʈi,,,
11090,"lame, crippled",,,lulʱa,"lula, nula",,nulʲæ,nulʲæ,
11044,"lame, crippled",nɛŋra,"nɛŋra, nɛŋɽa",lɛŋra,,"nɛŋɽa, nɛŋra","næŋɽa, næŋra","nɛŋɽa, nɛŋra",lɛŋɛra
,"wolf, a carnivore that is smaller than a lion",,lɛkra,lɛkra,nekre,nɛxɛra,nekre,nɛkra,lokra
10918,tail,,,nɛʈʌ,,nɛʈo,,neʈu,letũ
11119 (Ts.),people,lok,"lok, lok-la",lok,lok,lok,lok,lok,lok
11133,waterpot,,loʈa,lʌʈa,,,,,
,temptation,lob,loβ,lob,loβ,loɸ,"loβ, noβ",loɸ,loɸ
10839,tear (from eye),loj,loj,"loj, roj",loj,,,loj,
11114,"blanket, quilt",,,,lep,lɛp,næp,,lep
10539 (Ts.),blood,,rʌkt̪i,rʌkt̪ʌ,"ɔkt̪o, rɔkt̪o",rɔkt̪ɔ,ɔkt̪o,"rɔkt̪o, nɔkt̪o",
,vein,roh,,rʌk,rɔg,,rɔg,"nɔk, rɔk",
10560,colour,rʌŋ,rʌŋ,rʌŋ,rɔŋ,rɔŋ,ɔŋ,rɔŋ,rɔŋ
,rainbow,,,,rɔŋd̪̤ ʰenu,,ɔŋd̪ʱenu,,
,Sunday,,rʌwiwar,,roβiβar,,obibʲær,ɔbbar,rowiwar
10990,garlic,rusni,"risun, nisun","isni, rusni","oʃun, rɔʃun, roʃun",ɛʃun,oʃun,"noʃun, neʃun, oʃun",rehun
10616,cooks,nad̪ʱ-,nad̪ʱ-,nanʱ-,ranʱ-,and̪-,"and̪-, ɔnd̪-",rand̪-,randʱ-
10688,mustard plant or seed,rai,,rai,,rai,,,
10548,"herder, shepherd, cowherd",loxwal,,loxwal,"raxal, axal",axwal,"akwal, akal","raxwal, naxwal, axwal",raxal
10674,anger,,,rag,rag,rak,ag,rak,"rag, rak"
,goose,,raʤ-hãs,raza has,haʃ,haʃ,aʣ hãʃ,"raʣ haʃ, haʃi",raz-has
10679 (Ts.),king,raʤa,raza,raza,"aʤa, raʤa",raza,aʣa,"naʣa, aʣa",raza
10702,night,rat̪,rat̪,"rat̪, rat̪i","rait̪, ait̪",at̪i,at̪i,"rat̪i, nat̪i",rati
,road,,,rast̪a,"ast̪a, rast̪a",,ast̪a,,rasta
10798,cotton,rui,rui,rui,,,,,
10805,silver,,rupa,rupa,"rupa, upa",upʷa,upʲæ,"rupʲæ, rupʲæli",rupa
10816,current,rɛt̪,rɛt̪,,,,,,
10872,"sunshine, light, heat of the sun",roud̪,"rʌud̪, raud̪",rot̪,rod̪,ot̪,oid̪,"not̪, rot̪",rot
13295,maize,,,,,,ʃojʃo,ʃojʃo,
12286 (Ts.),enemy,,,sʌt̪ru,,,ʃot̪ru,ʃot̪ru,hotru
,Saturday,səniʧər,"sʌniβar, sʌniʧʌrβar",sʌniβar,ʃoniβar,ʃoniβar,ʃonibʲær,ʃoniβʲær,"honibar, sonibar"
,Monday,sʌm,som-bar,sʌmbar,ʃɔmbar,ʃɔmbar,ʃɔmbar,ʃɔmbar,hɔmbar
,"shame, sense of modesty",sərəm,,,ʃɔrom,ʃɔrɔm,ʃɔrom,,
12335,body,,,,ʃoril,ʃoɽil,ʃoil,ʃoril,
12353,mouse,,,,ʃɔlea,ʃɔlea,ʃɔlea,ʃɔlea,holja
12316,snail,,,"samuk, sambuk",ʃamuk,ʃamuk,ʃamuk,,
12580,mucus of the nose,siŋal,,siŋgari,"ʃiŋgol, ʃiŋgal",,ʃæŋon,,
,stick,,,,,ʃik,ʃik,,
12430,learns,sikʰ-,six-,sikʰ-,ʃix-,ʃix-,"ʃek-, ʃik-","ʃekʰ-, ʃikʰ-",hik-
12443,root (of a tree),,,,"ʃipa, ɕipa",ʃipʷa,ʃipʲæ,ʃipʲæ,hipa
12582,mucus of the nose,,siani,,,,,ʃiæni,hiani
13421,vein,,,,,ʃir,,ʃirʲæ,hira
12459,stone,silʈi,,,,"ʃil, ʃiʎ",ʃil,ʃil,hel
