item,pdf_page,printed_page,form,morphology,gloss,etymology,raw_entry
1097,229,215,kafici,"n., neut",comb,(G k@:gsi: 42597),"kafici, n., neut. - comb (G k@:gsi: 42597)"
1098,229,215,kafJi,"n., neut",gruel (Ta kanci DED 921),,"kafJi, n., neut. - gruel (Ta kanci DED 921)"
1099,229,215,kanka:li,"n., neut",knife,,"kanka:li, n., neut. — knife"
1100,229,215,kanga: jala,"n., peut",matted hair of Shiva,,"kanga: jala:, n., peut. - matted hair of Shiva"
1101,229,215,kala:v,"v , ne",mix,,"kala:v, v , ne. - mix"
1102,229,215,kala:liya,"n., mas., pl",wine-sellers,,"kala:liya:, n., mas., pl. - wine-sellers"
1103,229,215,kalatyna:k,"v., nce",mix,,"kalatyna:k, v., nce. ~ mix"
1104,230,216,kalpa,"n., neut",scale of the fish,,"kalpa:, n., neut. - scale of the fish"
1105,230,216,kalpa:pdi,"n., neut",lizard,,"kalpa:pdi, n., neut. - lizard"
1106,230,216,kaldu,"n, neut",roughness,,"kaldu,n, neut, - roughness"
