Status,Reason,Entry_Key,Site_Code,Site_Description,Language_ID,Base_Language,Concept,Gloss,Printed_Page,Column,Response_Index,Response_Count,Raw_Cell,Response,House_Form,Tags,Source
ingested,single response,beine-bhatri:BCB:38:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site BCB]"
ingested,single response,beine-bhatri:BAN:38:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site BAN]"
ingested,single response,beine-bhatri:BAR:38:1,BAR,"Bhatri from Karpaud, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bar,Bhatri,38,needle,14,2,1,1,suzi,suzi,suzi,,"beine2017bhatri[p. 14, item 38, site BAR]"
ingested,single response,beine-bhatri:BAG:38:1,BAG,"Bhatri from Amaguda, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bag,Bhatri,38,needle,14,2,1,1,sudʒ̩i,sudʒ̩i,suji,,"beine2017bhatri[p. 14, item 38, site BAG]"
ingested,single response,beine-bhatri:OAR:39:1,OAR,"Adivasi Oriya from Araku Valley, Visak District, Andhra Pradesh",beine_oar,AdivasiOriya,39,cloth,14,3,1,1,luɡa,luɡa,luga,,"beine2017bhatri[p. 14, item 39, site OAR]"
ingested,single response,beine-bhatri:OCU:39:1,OCU,"Oriya from Cuttack Tahsil, Cuttack District, Orissa",beine_ocu,Or,39,cloth,14,3,1,1,lu.̩ɡa,lu.̩ɡa,lu.ga,,"beine2017bhatri[p. 14, item 39, site OCU]"
ingested,single response,beine-bhatri:HBH:39:1,HBH,"Halbi from Bhatpal, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_hbh,hal,39,cloth,14,3,1,1,photˑe̠i,photˑe̠i,pʰoṭəi,,"beine2017bhatri[p. 14, item 39, site HBH]"
ingested,single response,beine-bhatri:BAU:39:1,BAU,"Bhatri from Auli, Nowrangapur Tahsil, Koraput District, Orissa",beine_bau,Bhatri,39,cloth,14,3,1,1,ke̠dⁿi,ke̠dⁿi,kədi,,"beine2017bhatri[p. 14, item 39, site BAU]"
ingested,single response,beine-bhatri:BSA:39:1,BSA,"Bhatri from Sargipal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bsa,Bhatri,39,cloth,14,3,1,1,pe̠ti,pe̠ti,pəti,,"beine2017bhatri[p. 14, item 39, site BSA]"
ingested,single response,beine-bhatri:BJE:39:1,BJE,"Bhatri from Jeypore Tahsil, Koraput District, Orissa",beine_bje,Bhatri,39,cloth,14,3,1,1,pe̠tˑi kanv̠,pe̠tˑi kanv̠,pəṭi kanʌ,,"beine2017bhatri[p. 14, item 39, site BJE]"
ingested,single response,beine-bhatri:BKP:39:1,BKP,"Bhatri from Kotpad Tahsil, Koraput District, Orissa",beine_bkp,Bhatri,39,cloth,14,3,1,1,pe̠ti,pe̠ti,pəti,,"beine2017bhatri[p. 14, item 39, site BKP]"
ingested,response 1 of 2 printed in one cell,beine-bhatri:BUM:39:1,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,39,cloth,14,3,1,2,potˑiʔkv̠prˑa,potˑi,poṭi,,"beine2017bhatri[p. 14, item 39, site BUM]"
ingested,response 2 of 2 printed in one cell,beine-bhatri:BUM:39:2,BUM,"Bhatri from Umarkot Tahsil, Koraput District, Orissa",beine_bum,Bhatri,39,cloth,14,3,2,2,potˑiʔkv̠prˑa,kv̠prˑa,kʌpṛa,,"beine2017bhatri[p. 14, item 39, site BUM]"
ingested,single response,beine-bhatri:BCB:39:1,BCB,"Bhatri from Chote Badal, Jagdalpur Tahsil, Bastar District, Madhya Pradesh",beine_bcb,Bhatri,39,cloth,14,3,1,1,kv̠prˑa,kv̠prˑa,kʌpṛa,,"beine2017bhatri[p. 14, item 39, site BCB]"
ingested,single response,beine-bhatri:BAN:39:1,BAN,"Bhatri from Anantpur, Kondagaon Tahsil, Bastar District, Madhya Pradesh",beine_ban,Bhatri,39,cloth,14,3,1,1,kv̠prˑa,kv̠prˑa,kʌpṛa,,"beine2017bhatri[p. 14, item 39, site BAN]"
