unit|region|pdf_page|form|gloss|context
t8:3|t8|10|/driɡ/|long, tall|palula=/dhriɡu/; gawri=/liːɡ/
t8:4|t8|10|/drɑːm/|village|palula=/ɡhroːm/; gawri=/laːm/
t8:5|t8|10|/peːt(r)/|son’s daughter|palula=/puːtri/; gawri=/peːɬ/
t8:6|t8|10|/pitri/|father’s brother|palula=/pitri/; gawri=/piɬi/
t9:1|t9|10|siir|sun|kohistani-shina=súuri; palula=súuri; gawri=siir
t9:2|t9|10|taar|star|kohistani-shina=táaro; palula=tóoru; gawri=taar
t9:3|t9|10|ic̣ii|eye|kohistani-shina=ac̣híi; palula=ac̣híi; gawri=ec̣
t9:4|t9|10|trimii|worm|palula=kriimíi
t13:1|t13|17|sär|lake|tone=0; palula=sáar; oia=sáras- (T: 13254)
t13:2|t13|17|kaan|ear|tone=0; palula=káaṇ; oia=kárṇa- (T: 2830)
t13:3|t13|17|ḍä̀är|belly|tone=L; palula=ḍheér; oia=*ḍhēḍḍha- (T: 5589)
t13:4|t13|17|šaàk|wood|tone=L; palula=šaák; oia=śākhyá- (T: 12379)
t13:5|t13|17|taár|star|tone=H; palula=tóoru; oia=tāraká- (T: 5798)
t13:6|t13|17|baál|hair|tone=H; palula=bóolu; oia=va ̄́la- (T: 11572)
t13:7|t13|17|ɡòór|horse|tone=LH; palula=ɡhúuṛu; oia=ɡhōṭa- (T: 4516)
t13:8|t13|17|čhèél|goat|tone=LH; palula=čhéeli; oia=chaɡalikā- (T: 4963)
t14:1sg:nom|t14|18|ma|1 SG|case=nom; person=1 SG; printed=ma
t14:1sg:obl1|t14|18|ma|1 SG|case=obl1; person=1 SG; printed=ma
t14:1sg:obl2|t14|18|mi|1 SG|case=obl2; person=1 SG; printed=mi
t14:1sg:gen|t14|18|mi|1 SG|case=gen; person=1 SG; printed=mi
t14:2sg:nom|t14|18|tu|2 SG|case=nom; person=2 SG; printed=tu
t14:2sg:obl1|t14|18|tu|2 SG|case=obl1; person=2 SG; printed=tu
t14:2sg:obl2|t14|18|t(h)i|2 SG|case=obl2; person=2 SG; printed=t(h)i
t14:2sg:gen|t14|18|t(h)i|2 SG|case=gen; person=2 SG; printed=t(h)i
t14:3sg:near:nom|t14|18|roo|3 SG|case=nom; person=3 SG; deixis=near; printed=roo
