Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
subentry,bashir:khowar:adb58344d2:subentry:2,bashir:khowar:adb58344d2,ṣieéli,Kho-Bashir-src-mnn|Kho-Bashir-src-nkn|Kho-Bashir-src-ms|Kho-Bashir-src-ma|Kho-Bashir-src-iwk,adj,nice,Subentry of ṣiík,141,128
subentry,bashir:khowar:adb58344d2:subentry:3,bashir:khowar:adb58344d2,ṣielyéik,Kho-Bashir-src-mnn|Kho-Bashir-src-nkn|Kho-Bashir-src-ms|Kho-Bashir-src-ma|Kho-Bashir-src-iwk,tr verb,"to decorate, beautify",Subentry of ṣiík,141,128
head,bashir:khowar:c4660c3961,,ṣimaṣáq,Kho-Bashir-src-mak,n,nonsense,,141,128
head,bashir:khowar:414cd5a30e,,ṣinǰík,Kho-Bashir-src-ms|Kho-Bashir-src-rakr,tr verb,to propitiate ancestral spirits or fairies,,141,128
head,bashir:khowar:897788c753,,ṣir,Kho-Bashir-src-mnn,n,a whistling sound,,141,128
subentry,bashir:khowar:897788c753:subentry:1,bashir:khowar:897788c753,ṣiréni,Kho-Bashir-src-mnn,n,a whistle,Subentry of ṣir,141,128
head,bashir:khowar:9217cd7f48,,ṣíṣar,Kho-Bashir-src-mak|Kho-Bashir-src-if,n,type of bread - rolled into small bullet- shaped cylinders and fried in fat,,141,128
subentry,bashir:khowar:9217cd7f48:subentry:1,bashir:khowar:9217cd7f48,ṣíṣar bik,Kho-Bashir-src-mak|Kho-Bashir-src-if,intr verb,to be completely burned,Subentry of ṣíṣar,141,128
head,bashir:khowar:1c371a18dc,,ṣit,Kho-Bashir-src-ms|Kho-Bashir-src-akm,n,target,,141,128
subentry,bashir:khowar:1c371a18dc:subentry:1,bashir:khowar:1c371a18dc,ṣitdík,Kho-Bashir-src-ms|Kho-Bashir-src-akm,n,target-shooting competition,Subentry of ṣit,141,128
head,bashir:khowar:f04c2b9701,,ṣo dik,Kho-Bashir-src-mnn,tr verb,to search for something (hidden or stolen) in someone,,141,128
head,bashir:khowar:0ef60caa18,,ṣok,Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-swka|Kho-Bashir-src-ms|Kho-Bashir-src-tmfw,n,footprints in snow,,141,128
