Role,Entry_Key,Parent_Key,Form,Language_IDs,POS,Gloss,Etymology,PDF_Page,Printed_Page
head,bashir:khowar:cbaec02d94,,ḍil,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-iwa,n,rolling motion downwards,,53,40
subentry,bashir:khowar:cbaec02d94:subentry:1,bashir:khowar:cbaec02d94,ḍil dik,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-iwa,intr tr verb,to roll down a slope,Subentry of ḍil,53,40
subentry,bashir:khowar:cbaec02d94:subentry:2,bashir:khowar:cbaec02d94,ḍiléik,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-iwa,tr verb,to roll something,Subentry of ḍil,53,40
head,bashir:khowar:b6f41bcfd6,,ḍim,Kho-Bashir-src-mnn|Kho-Bashir-src-if,,body minus the limbs,"[< Skt. (T5551), also cf. Bur. *-ḍím ‘body’]",54,41
head,bashir:khowar:bd5c472676,,ḍinḍindzó dik,Kho-Bashir-src-mak,tr intr verb,to mumble and grumble in displeasure,,54,41
head,bashir:khowar:22861886af,,ḍing,Kho-Bashir-src-iwk,adj,motionless,,54,41
head,bashir:khowar:a700e6a33b,,ḍinzabaɫéy,Kho-Bashir-src-gnk|Kho-Bashir-src-tmfw,n,cockroach,,54,41
variant,bashir:khowar:a700e6a33b:variant:1,bashir:khowar:a700e6a33b,ṭindzabaláy,Kho-Bashir-src-gnk|Kho-Bashir-src-tmfw,n,cockroach,Other pronunciation of ḍinzabaɫéy: ṭindzabaláy (TMFW),54,41
head,bashir:khowar:39c9bb70f3,,ḍipheék,Kho-Bashir-src-ifm|Kho-Bashir-src-gnk,tr verb,to place hot ashes or burning pith on a painful place,[< Skt. (T6362)],54,41
variant,bashir:khowar:39c9bb70f3:variant:1,bashir:khowar:39c9bb70f3,ḍiphéik,Kho-Bashir-src-ifm|Kho-Bashir-src-gnk,tr verb,to place hot ashes or burning pith on a painful place,Other pronunciation of ḍipheék: ḍiphéik,54,41
head,bashir:khowar:6ba18e5ebc,,ḍiq,Kho-Bashir-src-mnn,n,lameness,,54,41
subentry,bashir:khowar:6ba18e5ebc:subentry:1,bashir:khowar:6ba18e5ebc,ḍiq dik,Kho-Bashir-src-mnn,tr intr verb,to walk lamely,Subentry of ḍiq,54,41
head,bashir:khowar:da671361d6,,ḍis dik,Kho-Bashir-src-mnn|Kho-Bashir-src-arc,tr verb,to take care of (e.g. a patient),,54,41
head,bashir:khowar:823d81ecc8,,ḍísí,Kho-Bashir-src-chitral-town,n,Deputy Commissioner,[< Eng.],54,41
head,bashir:khowar:cff76a3050,,ḍišṭ,Kho-Bashir-src-swka|Kho-Bashir-src-ma|Kho-Bashir-src-mnn,n,handspan,[< Skt. (M:1973) (T6343)],54,41
subentry,bashir:khowar:cff76a3050:subentry:1,bashir:khowar:cff76a3050,dišṭ,Kho-Bashir-src-swka|Kho-Bashir-src-ma|Kho-Bashir-src-mnn,n,handspan,Subentry of ḍišṭ,54,41
head,bashir:khowar:376c2643d1,,ḍóḍi buk,Kho-Bashir-src-mnn,n,dewlap (fold of loose skin on the throat of cows and other animals),,54,41
head,bashir:khowar:76751b4c3e,,ḍoγeék,Kho-Bashir-src-mnn,intr verb,to moo (cow),,54,41
head,bashir:khowar:d34732aad9,,ḍom,Kho-Bashir-src-nkn|Kho-Bashir-src-tmf,n,person belonging to the hereditary caste of musicians,[< Skt. (T5570)],54,41
head,bashir:khowar:e8c9216591,,ḍonḍík¹,Kho-Bashir-src-gnk|Kho-Bashir-src-arc|Kho-Bashir-src-iwa,intr verb,"to be deserted, abandoned",,54,41
subentry,bashir:khowar:e8c9216591:subentry:1,bashir:khowar:e8c9216591,ḍonḍíru,Kho-Bashir-src-gnk|Kho-Bashir-src-arc|Kho-Bashir-src-iwa,adj,abandoned,Subentry of ḍonḍík¹,54,41
subentry,bashir:khowar:e8c9216591:subentry:2,bashir:khowar:e8c9216591,ḍonḍéik,Kho-Bashir-src-gnk|Kho-Bashir-src-arc|Kho-Bashir-src-iwa,tr verb,to cause to go away,Subentry of ḍonḍík¹,54,41
head,bashir:khowar:e8c9216591,,ḍonḍík²,Kho,intr verb,to search for something thoroughly,,54,41
head,bashir:khowar:6f504b9da5,,ḍonḍósi bik,Kho-Bashir-src-mak,intr verb,for many people to gather together and talk,,54,41
head,bashir:khowar:135aee0a37,,ḍongá,Kho-Bashir-src-swka,n,a deep serving dish,[< Ur.],54,41
head,bashir:khowar:c313449a1e,,ḍongár bik,Kho-Bashir-src-mnn,intr verb,to become upset and confused,,54,41
subentry,bashir:khowar:c313449a1e:subentry:1,bashir:khowar:c313449a1e,ḍongár dreék,Kho-Bashir-src-mnn,tr verb,"to upset someone extremely, causing confusion and disorientation",Subentry of ḍongár bik,54,41
head,bashir:khowar:ab710fc2ed,,ḍóngu,Kho-Bashir-src-mnn,adj,unripe,,54,41
head,bashir:khowar:eac4316440,,ḍoók,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-iwa|Kho-Bashir-src-ma|Kho-Bashir-src-mys,n,"mound (same shape class as ḍuk, but larger)",[< Skt. (T5603)],54,41
variant,bashir:khowar:eac4316440:variant:1,bashir:khowar:eac4316440,ḍok,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-iwa|Kho-Bashir-src-ma|Kho-Bashir-src-mys,n,"mound (same shape class as ḍuk, but larger)",Other pronunciation of ḍoók: ḍok,54,41
variant,bashir:khowar:eac4316440:variant:2,bashir:khowar:eac4316440,ḍokeék,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-iwa|Kho-Bashir-src-ma|Kho-Bashir-src-mys,n,"mound (same shape class as ḍuk, but larger)",Other pronunciation of ḍoók: ḍokeék,54,41
subentry,bashir:khowar:eac4316440:subentry:1,bashir:khowar:eac4316440,ḍokéik,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-iwa|Kho-Bashir-src-ma|Kho-Bashir-src-mys,tr verb,to pile up,Subentry of ḍoók,54,41
subentry,bashir:khowar:eac4316440:subentry:2,bashir:khowar:eac4316440,ḍoók yexdíz,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-iwa|Kho-Bashir-src-ma|Kho-Bashir-src-mys|Kho-Bashir-reg-torkhow,n,"a famous love song from Torkhow about a girl engaged to one person, then, in the absence of her betrothed, given to another",Subentry of ḍoók,54,41
subentry,bashir:khowar:eac4316440:subentry:3,bashir:khowar:eac4316440,ḍok korík,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-iwa|Kho-Bashir-src-ma|Kho-Bashir-src-mys,tr verb,to carry on the shoulders and back,Subentry of ḍoók,54,41
head,bashir:khowar:591cb97e5c,,ḍor,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-sonoghor,n,body of the grain-holding mechanism of a water mill,[< Skt. (T6740)],54,41
head,bashir:khowar:05ccc639d5,,ḍóri,Kho-Bashir-src-mnn|Kho-Bashir-src-drosh,n,large wooden cooking spoon approxmately six inches in diameter),[< Skt. (M:1973) (T6206)],54,41
head,bashir:khowar:cc4a8f8e9c,,ḍox,Kho-Bashir-src-if,adj,"thin and scraggly (of cattle, goats)",,54,41
head,bashir:khowar:9fb67b5a8a,bashir:donor:Eng:8ab2062de1,ḍramáy,Kho-Bashir-src-rakr,adj,like a play/drama,[< Eng. ‘drama’],54,41
head,bashir:khowar:491742822e,bashir:donor:Eng:ad68050c3c,ḍrayʋér,Kho-Bashir-src-swka,n,driver,[< Eng. ‘driver’],54,41
head,bashir:khowar:ddec87844b,,ḍuk,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-sg,n,hump (on back of hunchbacked person),[< Skt. T5556],54,41
variant,bashir:khowar:ddec87844b:variant:1,bashir:khowar:ddec87844b,ḍuq,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-sg,n,hump (on back of hunchbacked person),Other pronunciation of ḍuk: ḍuq (RAKR),54,41
subentry,bashir:khowar:ddec87844b:subentry:1,bashir:khowar:ddec87844b,ḍuk bik,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-sg,intr verb,to have a lump or swelling on something,Subentry of ḍuk,54,41
head,bashir:khowar:c5b7a637f4,,ḍukhaší,Kho-Bashir-src-ms,n,front part of fireplace or hearth,,54,41
head,bashir:khowar:8259825c13,,ḍum,Kho-Bashir-src-if|Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-iwa,adj,very many,,54,41
variant,bashir:khowar:8259825c13:variant:1,bashir:khowar:8259825c13,ḍuúm,Kho-Bashir-src-if|Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-iwa,adj,very many,Other pronunciation of ḍum: ḍuúm (MNN),54,41
subentry,bashir:khowar:8259825c13:subentry:1,bashir:khowar:8259825c13,ḍum deh,Kho-Bashir-src-if|Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-iwa,n,a cluster of connected houses,Subentry of ḍum,54,41
subentry,bashir:khowar:8259825c13:subentry:2,bashir:khowar:8259825c13,ḍum bik,Kho-Bashir-src-if|Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-iwa,intr verb,to collect,Subentry of ḍum,54,41
subentry,bashir:khowar:8259825c13:subentry:3,bashir:khowar:8259825c13,ḍum dik,Kho-Bashir-src-if|Kho-Bashir-src-mnn|Kho-Bashir-src-mak|Kho-Bashir-src-iwa,tr verb,to distribute manure from a large stack on a field into small stacks,Subentry of ḍum,54,41
head,bashir:khowar:b4c10f3868,,ḍunḍík,Kho-Bashir-src-swka|Kho-Bashir-src-mak|Kho-Bashir-src-iwa,tr verb,to fluff raw wool with a bow,,55,42
subentry,bashir:khowar:b4c10f3868:subentry:1,bashir:khowar:b4c10f3868,ḍunḍíni,Kho-Bashir-src-swka|Kho-Bashir-src-mak|Kho-Bashir-src-iwa,n,bow-like apparatus for fluffing wool,Subentry of ḍunḍík,55,42
head,bashir:khowar:700b2b90a1,,ḍungeék,Kho,intr verb,to mumble,,55,42
head,bashir:khowar:aa76e4d4cf,,ḍup,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-if,n,a pounding,,55,42
variant,bashir:khowar:aa76e4d4cf:variant:1,bashir:khowar:aa76e4d4cf,ḍuphóik,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-if|Kho-Bashir-reg-torkhow,n,a pounding,Other pronunciation of ḍup: ḍuphóik (in Torkhow) (IF),55,42
subentry,bashir:khowar:aa76e4d4cf:subentry:1,bashir:khowar:aa76e4d4cf,ḍuphéik,Kho-Bashir-src-mnn|Kho-Bashir-src-ma|Kho-Bashir-src-if|Kho-Bashir-reg-torkhow,tr intr verb,to pound (on something),Subentry of ḍup,55,42
head,bashir:khowar:b52372584f,,ḍušṭéy,Kho-Bashir-src-mnn,interj,go away!,,55,42
head,bashir:khowar:e02a58df0f,,ḍuúšṭé,Kho-Bashir-src-mnn,interj,come here!,,55,42
head,bashir:khowar:0611d1c7a9,,ḍyeh ḍyeh,Kho-Bashir-src-mnn,interj,come! come!,,55,42
head,bashir:khowar:6616d201c5,,-éγ,Kho-Bashir-src-iwa|Kho-Bashir-src-ma,adj,bound adj-making morpheme meaning,,55,42
head,bashir:khowar:90186fd821,,eγáli,Kho-Bashir-src-if|Kho-Bashir-reg-laspur,n,one (of them) (in Laspur) - cf. iʋáli in other dialects,,55,42
head,bashir:khowar:37ecda5955,,-éku,Kho-Bashir-src-iwa,n,bound morpheme indicating person belonging to a certain place,,55,42
head,bashir:khowar:e314479ec5,,-élik,Kho-Bashir-src-mnn|Kho-Bashir-src-sg,part,"should, must, have to",,55,42
variant,bashir:khowar:e314479ec5:variant:1,bashir:khowar:e314479ec5,éli,Kho-Bashir-src-mnn|Kho-Bashir-src-sg|Kho-Bashir-reg-lower-chitral,part,"should, must, have to",Other pronunciation of -élik: -éli in Lower Chitral and Lutkuh (SG),55,42
head,bashir:khowar:77072bda01,,es,Kho-Bashir-src-ms,,"cataphoric pronominal form, often used when a speaker doesn",,55,42
head,bashir:khowar:0fadbd969f,,fáhum,Kho-Bashir-src-rakr|Kho-Bashir-src-if,n,memory,,55,42
head,bashir:khowar:eccff6ea42,,faláq,Kho-Bashir-src-mnn,n,sky,[< Prs.],55,42
head,bashir:khowar:3395735594,,falíǰ,Kho-Bashir-src-if|Kho-Bashir-src-rkb,n,paralysis,"[< Ar., Prs.]",55,42
variant,bashir:khowar:3395735594:variant:1,bashir:khowar:3395735594,falíč,Kho-Bashir-src-if|Kho-Bashir-src-rkb,n,paralysis,Other pronunciation of falíǰ: falíč (with final devoicing),55,42
head,bashir:khowar:1dfe3493e9,,faltú,Kho-Bashir-src-swka,adj,extra,,55,42
subentry,bashir:khowar:1dfe3493e9:subentry:1,bashir:khowar:1dfe3493e9,faltú korík,Kho-Bashir-src-swka,tr verb,to waste,Subentry of faltú,55,42
head,bashir:khowar:dfbfff4aab,,fan,Kho-Bashir-src-mnn|Kho-Bashir-src-mii,n,deception,,55,42
subentry,bashir:khowar:dfbfff4aab:subentry:1,bashir:khowar:dfbfff4aab,fan dik,Kho-Bashir-src-mnn|Kho-Bashir-src-mii,tr verb,to deceive,Subentry of fan,55,42
head,bashir:khowar:2b69af10a3,,fanát,Kho-Bashir-src-s|Kho-Bashir-src-mnn,,pure white (thing),,55,42
head,bashir:khowar:e64c18c0d9,,faqát,Kho-Bashir-src-wsic,adv,indeed,"[< Ar., Prs.]",55,42
head,bashir:khowar:b331e2b633,,faqayát,Kho-Bashir-src-s,n,event,"[< Ar., Prs., Ur.]",55,42
head,bashir:khowar:02b3dda05b,,faqér,Kho-Bashir-src-wsic,n,mendicant,,55,42
head,bashir:khowar:7594079539,,faqerí,Kho-Bashir-src-ms,n,household goods given by parents to their daughter at the time when she and her husband establish a separate household,,55,42
head,bashir:khowar:f9742d5067,,faraǰí,Kho-Bashir-src-ms,n,"a second, upper šuqá worn over the first šuqá by affluent persons",,55,42
head,bashir:khowar:add146dd64,,faráng,Kho-Bashir-src-rakr,n,type of fused rifle,[< farangi ‘foreign’],55,42
head,bashir:khowar:dabc47a7cc,,farqéik,Kho-Bashir-src-ms,intr tr verb,"to discriminate visually, identify",,55,42
head,bashir:khowar:baabb1ab4f,bashir:donor:Eng:e3c037bf05,fel,Kho-Bashir-src-mnn,adj,failed (in an examination),[< Eng. ‘fail’],55,42
subentry,bashir:khowar:baabb1ab4f:subentry:1,bashir:khowar:baabb1ab4f,fel bik,Kho-Bashir-src-mnn,intr verb,to fail in an examination,Subentry of fel,55,42
head,bashir:khowar:74915e7188,,fil,Kho-Bashir-src-wsic,n,elephant,[< Prs.],55,42
head,bashir:khowar:9f8c03a514,,firáq,Kho-Bashir-src-mnn|Kho-Bashir-src-akm|Kho-Bashir-src-zmz,n,separation,"[< Ar., Prs.]",55,42
head,bashir:khowar:a028d2902e,,firíb,Kho-Bashir-src-if|Kho-Bashir-src-mii,n,lie,[< Prs.],55,42
variant,bashir:khowar:a028d2902e:variant:1,bashir:khowar:a028d2902e,firíp,Kho-Bashir-src-if|Kho-Bashir-src-mii,n,lie,Other pronunciation of firíb: firíp,55,42
head,bashir:khowar:197ed1a7ab,,fitá,Kho-Bashir-src-proper-chitral,n,measuring tape,[< Ur.?],56,43
head,bashir:khowar:85cffa6e40,,frax,Kho-Bashir-src-mnn|Kho-Bashir-src-if,adj,loose,,56,43
head,bashir:khowar:847512e06e,,frosk,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-nr|Kho-Bashir-src-ms,adj,straight,[< Ir. (M:1936)],56,43
variant,bashir:khowar:847512e06e:variant:1,bashir:khowar:847512e06e,horsk,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-nr|Kho-Bashir-src-ms|Kho-Bashir-reg-lower-chitral,adj,straight,"Other pronunciation of frosk: horsk, hosk (Lower Chitral) (SWKA)",56,43
variant,bashir:khowar:847512e06e:variant:2,bashir:khowar:847512e06e,hosk,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-nr|Kho-Bashir-src-ms|Kho-Bashir-reg-lower-chitral,adj,straight,"Other pronunciation of frosk: horsk, hosk (Lower Chitral) (SWKA)",56,43
subentry,bashir:khowar:847512e06e:subentry:1,bashir:khowar:847512e06e,froskí,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-nr|Kho-Bashir-src-ms,n,right side,Subentry of frosk,56,43
subentry,bashir:khowar:847512e06e:subentry:2,bashir:khowar:847512e06e,fróski,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-nr|Kho-Bashir-src-ms,adj,right,Subentry of frosk,56,43
subentry,bashir:khowar:847512e06e:subentry:3,bashir:khowar:847512e06e,fróski γerdík,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-swka|Kho-Bashir-src-nr|Kho-Bashir-src-ms,intr verb,to rotate counterclockwise,Subentry of frosk,56,43
head,bashir:khowar:51c4b8a6b7,,froṣeék,Kho-Bashir-src-mnn|Kho-Bashir-src-iwa,intr verb,to breathe heavily or sniffle (while talking),[< Ir. (M:1936)] [< Ir. (M:1936)],56,43
variant,bashir:khowar:51c4b8a6b7:variant:1,bashir:khowar:51c4b8a6b7,froṣéik,Kho-Bashir-src-mnn|Kho-Bashir-src-iwa,intr verb,to breathe heavily or sniffle (while talking),Other pronunciation of froṣeék: froṣéik (IWA),56,43
subentry,bashir:khowar:51c4b8a6b7:subentry:1,bashir:khowar:51c4b8a6b7,frox,Kho-Bashir-src-mnn|Kho-Bashir-src-iwa,n,mouth/muzzle (of animals),Subentry of froṣeék,56,43
head,bashir:khowar:631131e9c4,,fruṭ,Kho-Bashir-src-mnn,adj,"fragile (glass, dry wood, iron)",,56,43
head,bashir:khowar:0e9f1bfaa1,bashir:donor:Eng:0d380f0c19,fuṭból,Kho-Bashir-src-mnn,n,football,[< Eng. ‘football’],56,43
head,bashir:khowar:ffbc3ca11f,,fuṭú,Kho-Bashir-src-mnn|Kho-Bashir-src-swka|Kho-Bashir-src-wsic,n,photograph,[< Eng.],56,43
head,bashir:khowar:9e1ce9de12,,fuzúl,Kho-Bashir-src-swka,adj,useless,,56,43
head,bashir:khowar:fb587c1440,,gaá,Kho-Bashir-src-if,n,adult female yak,[< Skt. (T4147)],56,43
head,bashir:khowar:a5655bd40c,,gaáɫu,Kho-Bashir-src-if,n,small field,[< Skt. (T3968)],56,43
head,bashir:khowar:1b09a5038f,,gac̣,Kho-Bashir-src-mnn|Kho-Bashir-src-rakr|Kho-Bashir-src-wsic,n,wrestling,,56,43
head,bashir:khowar:613220d4e9,,gac̣éc̣,Kho-Bashir-src-tmf,n,matches,,56,43
head,bashir:khowar:ceee352f6b,,gadáy,Kho-Bashir-src-rakr|Kho-Bashir-src-swka,adj,homeless,,56,43
subentry,bashir:khowar:ceee352f6b:subentry:1,bashir:khowar:ceee352f6b,gadaí,Kho-Bashir-src-rakr|Kho-Bashir-src-swka,n,homelessness,Subentry of gadáy,56,43
head,bashir:khowar:b70e77ddd7,,gadéla,Kho-Bashir-src-laspur,n,thin mattress,,56,43
head,bashir:khowar:10d4954882,,gadéri,Kho-Bashir-src-mnn|Kho-Bashir-src-wsic,adj,mad,,56,43
subentry,bashir:khowar:10d4954882:subentry:1,bashir:khowar:10d4954882,gaderí,Kho-Bashir-src-mnn|Kho-Bashir-src-wsic,n,madness,Subentry of gadéri,56,43
subentry,bashir:khowar:10d4954882:subentry:2,bashir:khowar:10d4954882,gaderiγarí,Kho-Bashir-src-mnn|Kho-Bashir-src-wsic,n,mad behavior,Subentry of gadéri,56,43
head,bashir:khowar:c76406a63f,,gah,Kho-Bashir-src-gnk,adv,sometimes,,56,43
head,bashir:khowar:eb3df807d5,,gahná,Kho-Bashir-src-rakr|Kho-Bashir-src-ics,n,jewelry,,56,43
head,bashir:khowar:7ed613b8eb,,gaht,Kho-Bashir-src-mnn,n,village in central Mulkhow,,56,43
subentry,bashir:khowar:7ed613b8eb:subentry:1,bashir:khowar:7ed613b8eb,gahtíki,Kho-Bashir-src-mnn,n,person from Village Gaht,Subentry of gaht,56,43
head,bashir:khowar:5fc745ccbb,,gaǰarí,Kho-Bashir-src-ma|Kho-Bashir-src-if|Kho-Bashir-src-rkb|Kho-Bashir-src-ms,n,horse blanket,,56,43
head,bashir:khowar:d4ff7de79b,,gaǰári,Kho-Bashir-src-rkb-ma|Kho-Bashir-src-if|Kho-Bashir-src-zhd|Kho-Bashir-src-ms|Kho-Bashir-reg-lower-chitral,n,house centipede,,56,43
variant,bashir:khowar:d4ff7de79b:variant:1,bashir:khowar:d4ff7de79b,gaǰéri,Kho-Bashir-src-rkb-ma|Kho-Bashir-src-if|Kho-Bashir-src-zhd|Kho-Bashir-src-ms|Kho-Bashir-reg-lower-chitral,n,house centipede,Other pronunciation of gaǰári: gaǰéri (IF),56,43
head,bashir:khowar:38e8cc9554,bashir:donor:H:9dd80a35e3,gaɫí,Kho-Bashir-src-mnn,n,watch,"[< Ur. ghaṛī ‘watch, clock’]",56,43
head,bashir:khowar:28946bcf78,id:f_ejogvjg5isrfu,gáɫi,Kho-Bashir-src-mnn|Kho-Bashir-src-rkb,n,car,"[< Ur. gāṛī ‘car, vehicle’]",56,43
head,bashir:khowar:ecac9b96c0,,gambúri,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,flower,[< Skt. (M:1973) (T4015)],56,43
subentry,bashir:khowar:ecac9b96c0:subentry:1,bashir:khowar:ecac9b96c0,γamáz gambúri,Kho-Bashir-src-mnn|Kho-Bashir-src-swka,n,flower of phoʋú,Subentry of gambúri,56,43
head,bashir:khowar:a06d4da70c,,gaméṣ,Kho-Bashir-src-ms|Kho-Bashir-src-rkb,n,buffalo,"[< Skt. (T4147), (T9964)]",56,43
head,bashir:khowar:d27a38f0b9,,gan¹,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-parwak,n,one,,56,43
subentry,bashir:khowar:d27a38f0b9:subentry:1,bashir:khowar:d27a38f0b9,ganusnéni,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-parwak|Kho-Bashir-reg-parwak,n,piece of wood which controls speed of a water mill,Subentry of gan¹,56,43
subentry,bashir:khowar:d27a38f0b9:subentry:2,bashir:khowar:d27a38f0b9,gan korík,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-parwak,tr verb,to regulate the height of the upper millstone in a water mill,Subentry of gan¹,56,43
subentry,bashir:khowar:d27a38f0b9:subentry:3,bashir:khowar:d27a38f0b9,gankoríni,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-parwak|Kho-Bashir-reg-parwak,n,long round wooden stick going down to millstones in a water mill,Subentry of gan¹,56,43
head,bashir:khowar:d27a38f0b9,,gan²,Kho-Bashir-src-mnn|Kho-Bashir-src-ms|Kho-Bashir-src-if|Kho-Bashir-src-swka|Kho-Bashir-src-mys,n,wind,[< Skt. (M:1973)],56,43
head,bashir:khowar:3e58d78e30,,-gán,Kho-Bashir-src-chitral-town|Kho-Bashir-src-swka,adv,suffixal morpheme with distributive sense,,56,43
head,bashir:khowar:783f7bebc1,,ganás,Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-sonoghor,n,small pieces,,56,43
subentry,bashir:khowar:783f7bebc1:subentry:1,bashir:khowar:783f7bebc1,ganás korík,Kho-Bashir-src-rakr|Kho-Bashir-src-if|Kho-Bashir-src-sonoghor|Kho-Bashir-reg-sonoghor,tr verb,to tear into small pieces,Subentry of ganás,56,43
head,bashir:khowar:dc45fb8310,,gančhéɫi,Kho-Bashir-src-mnn|Kho-Bashir-src-booni,n,snowdrift,,56,43
variant,bashir:khowar:dc45fb8310:variant:1,bashir:khowar:dc45fb8310,gančhóɫi,Kho-Bashir-src-mnn|Kho-Bashir-src-booni|Kho-Bashir-reg-booni,n,snowdrift,Other pronunciation of gančhéɫi: gančhóɫi (Booni),56,43
head,bashir:khowar:62e17518a2,,gándur,Kho-Bashir-src-swka,n,"fourth month of Khowar calendar, approximately March",,57,44
head,bashir:khowar:7af6f974bb,,ganḍá pičhíli,Kho-Bashir-src-ayun,n,a vegetable which is ready in August,,57,44
head,bashir:khowar:c1d1a0cece,,gang,Kho-Bashir-src-tmf,n,village below Birir,,57,44
head,bashir:khowar:1986083606,,gangúruk,Kho-Bashir-src-if,n,"dried droppings of cow, bull, yak",[< Skt. (T4097)],57,44
head,bashir:khowar:89a8ad4a49,,ganík,Kho-Bashir-src-rkb|Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,tr verb,to take,[< Skt. (M:1973) (T4236)],57,44
subentry,bashir:khowar:89a8ad4a49:subentry:1,bashir:khowar:89a8ad4a49,phar ganík,Kho-Bashir-src-rkb|Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,tr verb,to take something from someone (away from speaker),Subentry of ganík,57,44
subentry,bashir:khowar:89a8ad4a49:subentry:2,bashir:khowar:89a8ad4a49,ganí angík,Kho-Bashir-src-rkb|Kho-Bashir-src-mnn|Kho-Bashir-src-rakr,tr verb,to bring,Subentry of ganík,57,44
head,bashir:khowar:4c050c7731,bashir:donor:H:b92f95b495,ganṭá,Kho-Bashir-src-rkb,n,hour,[< Ur. ghanṭā ‘hour’],57,44
head,bashir:khowar:d131e05ea4,,ganzúl,Kho-Bashir-src-mnn|Kho-Bashir-src-if,n,narrow path or road with walls on both sides,,57,44
variant,bashir:khowar:d131e05ea4:variant:1,bashir:khowar:d131e05ea4,gandzúl,Kho-Bashir-src-mnn|Kho-Bashir-src-if,n,narrow path or road with walls on both sides,Other pronunciation of ganzúl: gandzúl (IF),57,44
head,bashir:khowar:aefaf55f14,,-gár,Kho-Bashir-src-swka,n,bound suffixal morpheme meaning,,57,44
subentry,bashir:khowar:aefaf55f14:subentry:1,bashir:khowar:aefaf55f14,lugár,Kho-Bashir-src-swka,n,speaker,Subentry of -gár,57,44
head,bashir:khowar:feffe01785,,gáraṭ,Kho-Bashir-src-mnn|Kho-Bashir-src-mys,n,dead animal which has died in such a way that it is forbidden by íslam to eat it,,57,44
subentry,bashir:khowar:feffe01785:subentry:1,bashir:khowar:feffe01785,garaṭíši,Kho-Bashir-src-mnn|Kho-Bashir-src-mys,n,"remains (skin, flesh, bones) of dead animal",Subentry of gáraṭ,57,44
head,bashir:khowar:86c3331778,,garáy,Kho-Bashir-src-if|Kho-Bashir-src-drosh,n,solid metal bracelet,,57,44
head,bashir:khowar:ff436239a9,,garbín,Kho-Bashir-src-ms,adj,pregnant (of animals),[< Skt. (M:1973) (T4055)],57,44
head,bashir:khowar:4cd0fb8cf9,,-garí,Kho-Bashir-src-iwa|Kho-Bashir-src-swka,n,bound morpheme meaning,,57,44
head,bashir:khowar:2e927c5710,,garmizú,Kho-Bashir-src-mnn,n,a low-growing mountain plant with long spiky leaves,,57,44
head,bashir:khowar:5701646e6d,,garúṭi,Kho-Bashir-src-mnn|Kho-Bashir-src-zhd,n,leprosy-afflicted person (pejorative),,57,44
head,bashir:khowar:0a8e2abfdf,,gašṭ,Kho-Bashir-src-swka,n,village in Laspur,,57,44
head,bashir:khowar:86d5b01596,,gašṭá,Kho-Bashir-src-zmz,adj,"dirty, soiled (of a garment which was previously clean)",,57,44
