Upstream_ID,NameInSource,Glottocode,Form_Count,Imported,Parent_ID,Parent_Name,Decision
KUIKANDHIORKHOND,Kui/Kand’ī/Khond,kuii1252,175,Yes,Kui,Kui,unique existing-language Glottocode
KOLAMI,Kōlāmī,nort2699,69,Yes,Kolami,Kolami,unique existing-language name
GONDI,Gōṇḍi,sout2711,182,Yes,Gondi,Gondi,manual historical/dialect mapping
TELUGU,Telugu,telu1262,167,Yes,Telugu,Telugu,unique existing-language name
BRAHUI,Brāhūī,brah1256,178,Yes,Brahui,Brahui,unique existing-language name
ARABIC,Arabic,stan1318,196,Yes,Ar,Arabic,unique existing-language name
OLDPERSIAN,Old Persian,oldp1254,76,Yes,OPers,Old Persian,unique existing-language name
AVESTAN,Avesta,aves1237,162,Yes,Av,Avestan,unique existing-language name
PAHLAVI,Pahlavī,pahl1241,184,Yes,Pahl,Pahlavi,unique existing-language name
PERSIAN,Persian,west2369,226,Yes,Pers,Persian,unique existing-language name
PASHTOOFPESHAWAR,"Paṣ̌tō, of Peshawar",nort2646,189,Yes,Psht,Pashto,manual historical/dialect mapping
WAZIRI,Wazīrī,cent1973,181,Yes,Psht,Pashto,unique existing-language Glottocode
PASHTOOFKANDAHAR,Southern Pashto of Kandahar,sout2649,173,Yes,Psht,Pashto,manual historical/dialect mapping
ORMURI,Ōrmuṛī,ormu1247,186,Yes,Orm,Ormuri,unique existing-language name
BALOCHIMAKRANI,"Balōchī, Makrānī",sout2642,195,Yes,Bal,Balochi,unique existing-language Glottocode
EASTERNBALOCHI,Eastern,east2304,183,Yes,Bal,Balochi,manual historical/dialect mapping
WAXI,Waꭓī,wakh1245,180,Yes,Wkh,Wakhi,unique existing-language name
SHIYNI,Šiɣnī,shug1248,196,Yes,Shgh,Shughni,unique existing-language name
SARIKOLI,Sarīkolī,sari1246,184,Yes,Sar,Sarikoli,unique existing-language name
ISHKASHMIZEBAKI,"Iškāšmī, Zēbakī",ishk1246,231,Yes,Ishk,Ishkashmi,manual historical/dialect mapping
MUNJANIORMUNGI,Munjānī/Mungī,munj1244,163,Yes,Mj,Munji,unique existing-language name
YUDYA,Yüdɣa,yidg1240,162,Yes,Yid,Yidgha,unique existing-language name
BASHGALI,Bašgali,kati1270,180,Yes,Bashg,Bashgali,manual historical/dialect mapping
WAIALA,Wai-alā,waig1243,171,Yes,Wg,Nuristani Kalasha,unique existing-language name
WASIVERIORVERON,Wasĩ-veru/Veron,pras1239,177,Yes,Pr,Prasun,unique existing-language name
KALASHA,Kalāšā,kala1372,175,Yes,Kal,Indo-Aryan Kalasha,unique existing-language Glottocode
GAWARBATI,Gawar-bati,gawa1247,178,Yes,Gaw,Gawarbati,manual historical/dialect mapping
PASHAIEASTERN,"Pašai, Eastern",sout2672,180,Yes,Pas,Pashai,manual historical/dialect mapping
PASHAIWESTERN,"Pašai, Western",sout2671,184,Yes,Pas,Pashai,manual historical/dialect mapping
KHOWARORCHITRALI,K’ōwār/Chitrālī,khow1242,177,Yes,Kho,Khowar,unique existing-language name
SHINAGILGITI,"Šiṇā, Gilgitī",gilg1242,210,Yes,Sh,Shina,manual historical/dialect mapping
CHILASI,Chilāsi,shin1264,184,Yes,Sh,Shina,manual historical/dialect mapping
CHILASIOFDRAS,Dras of Drās,dras1242,198,Yes,Sh,Shina,manual historical/dialect mapping
CHILASIOFDAHHANU,Brokskat of Ḍāh-Hanū,brok1247,186,Yes,bro,Brokskat,manual historical/dialect mapping
KASHMIRI,Kašmīrī,kash1277,190,Yes,K,Kashmiri,unique existing-language name
KASHTAWARI,Kašṭawāṛī,kish1245,222,Yes,K,Kashmiri,manual historical/dialect mapping
POGULI,Pǒgulī,pogu1238,183,Yes,pog,Poguli,unique existing-language name
DODASIRAJI,Ḍōḍā Sirājī,sira1264,179,Yes,dod,Dodi,manual historical/dialect mapping
RAMBANI,Rāmbanī,ramb1240,223,Yes,ram,Rambani,unique existing-language name
KOHISTANIGARWI,"Kōhistānī, Gārwī",indu1241,172,Yes,Bshk,Bashkarik,manual historical/dialect mapping
TORWALI,Tōrwālī,torw1241,178,Yes,Tor,Torwali,unique existing-language name
MAIYA,Maiyā̃,indu1241,175,Yes,Mai,Indus Kohistani,manual historical/dialect mapping
GYPSYEUROPEAN,"Gypsy, European",roma1329,201,Yes,Gy,Romani,unique existing-language name
GYPSYSYRIAN,"Gypsy, Syrian",doma1258,192,Yes,as,Domari,unique existing-language name
SANSKRIT,Sanskrit,sans1269,275,Yes,Sk,Sanskrit,unique existing-language name
PRAKRIT,Prakrit,saur1252,356,Yes,Pk,Prakrit,unique existing-language name
KHETRANI,K’ētrānī,khet1238,94,Yes,khet,Khetrani,unique existing-language name
LAHNDAOFSHAHPUR,"Lahndā, of Shahpur",west2386,193,Yes,L,Lahnda,unique existing-language Glottocode
MULTANI,Mūltānī,mult1243,190,Yes,srk,Saraiki,manual historical/dialect mapping
HINDKI,Hindkī,sout2668,185,Yes,awan,Hindko,manual historical/dialect mapping
THALI,T’aḷī,thal1241,186,Yes,srk,Saraiki,manual historical/dialect mapping
DHANNI,D’annī,nort2662,183,Yes,L,Lahnda,manual historical/dialect mapping
TINAULI,Tināulī,nort2662,176,Yes,L,Lahnda,manual historical/dialect mapping
TINAULIOFSALTRANGE,Northern Hindko of Salt Range,nort2662,184,Yes,L,Lahnda,manual historical/dialect mapping
POTHWARI,Pōṭ’wārī,poth1238,189,Yes,poth,Pahari-Pothwari,manual historical/dialect mapping
CHIBHALI,Chib’āli,chib1247,169,Yes,poth,Pahari-Pothwari,manual historical/dialect mapping
PUNCHHI,Punch’ī,punc1239,171,Yes,poth,Pahari-Pothwari,manual historical/dialect mapping
SINDHIVICHOLI,"Sind’ī, Vichōlī",sind1272,191,Yes,S,Sindhi,unique existing-language name
LARI,Lāṛī,lari1254,227,Yes,S,Sindhi,manual historical/dialect mapping
KACHCHHI,Kachch’ī,kach1277,212,Yes,kcch,Kutchi,unique existing-language Glottocode
MARATHIDESHI,"Marāṭ’ī, Dēšī",mara1378,169,Yes,M,Marathi,unique existing-language name
NAGPURI,Nāgpurī,varh1239,175,Yes,M,Marathi,manual historical/dialect mapping
KONKANI,Kōṅkaṇī,konk1267,174,Yes,Ko,Konkani,unique existing-language name
SINGHALESE,Singhalese,sinh1246,235,Yes,Si,Sinhala,unique existing-language name
ORIYA,Oṛiyā,oriy1255,199,Yes,Or,Odia,unique existing-language name
BIHARIMAITHILI,"Bihārī, Mait’ilī",mait1250,214,Yes,Mth,Maithili,unique existing-language name
MAGAHI,Magahī,maga1260,254,Yes,Bi,Bihari,manual historical/dialect mapping
BHOJPURINORTHERN,"B’ojpurī, Northern",nort2656,193,Yes,Bhoj,Bhojpuri,manual historical/dialect mapping
BHOJPURISOUTHERN,"B’ojpurī, Southern",sout2661,207,Yes,Bhoj,Bhojpuri,manual historical/dialect mapping
NAGPURIA,Nagpuriā,sadr1248,176,Yes,Bi,Bihari,manual historical/dialect mapping
BENGALIWRITTEN,"Bengali, written",beng1280,243,Yes,B,Bengali,unique existing-language name
BENGALISPOKEN,"Bengali, spoken",beng1280,236,Yes,B,Bengali,unique existing-language name
SOUTHWESTERNBENGALI,South-western,beng1280,200,Yes,B,Bengali,unique existing-language name
SIRIPURIA,Siripuriā,siri1268,180,Yes,Bi,Bihari,manual historical/dialect mapping
EASTERNBENGALI,"Bengali, Eastern",east2744,230,Yes,B,Bengali,manual historical/dialect mapping
EASTERNBENGALIOFCACHAR,Sylheti of Cachar,sylh1242,191,Yes,B,Bengali,manual historical/dialect mapping
EASTERNBENGALIOFCHITTAGONG,Chittagonian of Chittagong,chit1275,203,Yes,B,Bengali,manual historical/dialect mapping
CHAKMA,Chākmā,chak1266,182,No,,,no existing parent
ASSAMESE,Assamese,assa1263,209,Yes,A,Assamese,unique existing-language name
EASTERNHINDIAWADHI,"Eastern Hindī, Awad’ī",awad1243,193,Yes,Aw,Awadhi,unique existing-language name
BAGHELI,Bag’ēlī,bagh1251,200,Yes,bagheli_lakshman,Bagheli,unique existing-language name
CHHATTISGARHI,Ch’attīsgaṛ’ī,chha1249,178,Yes,NDu,Chhattisgarhi,unique existing-language name
WESTERNHINDIHINDOSTANI,"Western Hindī, Hindōstānī",hind1269,178,Yes,H,Hindi-Urdu,manual historical/dialect mapping
VERNACULARHINDOSTANI,Vernacular Hindōstānī,hind1269,184,Yes,H,Hindi-Urdu,manual historical/dialect mapping
DAKHINI,Dak’inī,decc1239,183,Yes,H,Hindi-Urdu,manual historical/dialect mapping
BANGARU,Bāngarū,hary1238,175,Yes,kaithal,Haryanvi,unique existing-language name
BRAJBHAKHA,Braj B’āk’ā,braj1242,212,Yes,Brj,Braj,unique existing-language name
KANAUJI,Kanaujī,kana1281,177,Yes,Kannauji-Central,Kannauji,unique existing-language Glottocode
BUNDELI,Bundēlī,bund1253,212,Yes,bundeli_atarra,Bundeli,unique existing-language name
BANAPHARI,Banāp’arī,bana1281,181,Yes,H,Hindi-Urdu,manual historical/dialect mapping
PANJABIWRITTEN,"Pañjābī, written",panj1256,214,Yes,P,Punjabi,manual historical/dialect mapping
PANJABISPOKEN,"Pañjābī, spoken",panj1256,183,Yes,P,Punjabi,manual historical/dialect mapping
POWADHI,Pōwād’ī,powa1246,183,Yes,P,Punjabi,manual historical/dialect mapping
DOGRI,Ḍōgrī,dogr1250,174,Yes,dog,Dogri,unique existing-language name
KANGRA,Kāṅgrā,kang1280,215,Yes,kgr,Kangri,unique existing-language name
GUJARATISTANDARD,"Gujarātī, Standard",guja1252,177,Yes,G,Gujarati,unique existing-language name
CHAROTARI,Charōtarī,guja1252,254,Yes,G,Gujarati,unique existing-language name
KATHIYAWADI,Kāṭ’iyāwāḍī,kath1249,233,Yes,G,Gujarati,manual historical/dialect mapping
KHARAWA,K’ārawā,khar1282,179,Yes,G,Gujarati,manual historical/dialect mapping
GHISADI,G’isāḍī,guja1252,170,Yes,ghis,Ghisadi,manual historical/dialect mapping
RAJASTHANIMARWARI,"Rājast’ānī, Mārwāṛi",marw1260,200,Yes,Marw,Marwari,manual historical/dialect mapping
JAIPURI,Jaipuri,dhun1238,191,Yes,dhundari_bamore,Dhundari,unique existing-language name
MEWATI,Mēwātī,mewa1249,192,Yes,mewati_akera,Mewati,unique existing-language name
GUJURIOFHAZARA,Gujurī of Hazara,guja1253,166,Yes,SSNP-gojri-KUN,Gujari,unique existing-language name
MALVI,Mālvī,malv1243,225,Yes,mewari_basad,Malvi,unique existing-language name
NIMADI,Nīmāḍī,nima1243,187,Yes,mewari_basad,Malvi,manual historical/dialect mapping
LABHANIOFBERAR,Lab’ānī of Berar,lamb1269,178,No,,,no existing parent
