Gloss,CDIAL,gil,koh,gur,Astor,dr,bro
mother's brother,10055,máamo,mamáa,múumu̥,móomo,,
mother's brother,9935,moól,mahuúl,,,,
mother-in-law,12759,šaṣ,šaṣ,"šaš, ṣaṣ",ṣaṣ,,
name,7067,nóom,núum,nóom,nóom,,
person,11221,manúj̣o,manúuẓo,manúuj̣u,manúuẓo,,
sister,13913,sa,sas,sas,sas,,
son,8265,puc̣,puc̣,puc̣,puc̣,,
son,,,,baál,,,
son-in-law,5198,jamac̣oó,jamc̣ó,jaməc̣óo,jamac̣óo,,
wife's brother,12757,šerií,šerií,šaerí,šairí,,
woman,13736,cey,céi,céi,céi,,
arrow,3023,kóoṇ,kóoṇ,kóoṇ,kóoṇ,,
arrow,,,,tíir,,,
ashes,,dáal,,dáal,dáal,,
ashes,12619,,šóo,,,,
bed,12323,šéen,šen,,,,
bed,3781,,,khaṭ,khaṭ,,
bed,,,,caarpái,,,
bread,5466,ṭíki,"ṭíki, ṭíkki",ṭíki,ṭíki,,
churn,,,chapóoro,c̣hapáru,,,
churn,,tharíṅi,,,,,
churn,5322,,,,jagú (?),,
curds,10244,múuṭo dut,múutho dut,,,,
curds,,,,cúrku dut,cúrko dut,,
curds,,,,méel,,,
curds,,,,burús,,,
dream,13929,sáa~c̣e (pl.),sáac̣ho,sáac̣u,sáa~c̣o,,
fertilizer,8019,páaṣ,páaṣ,páaṣ,páaṣ,,
fertilizer,,swaác̣,,,,,
field,3735,c̣héec̣,,c̣héec̣,c̣héec̣,,
field,11480,bári (?),,,,,
field,,,ḍóoli,,,,
field,,,,,khái,,
fire,,,phúu,pfúu,phúu,,
fire,125,"agáar, hagáar",,aṅgáaru,,,
ghee,4501,gií,gií,gií,gií,,
grease,10323,míi~,myú~,mií~,míi~,,
grease,,,carbíi,,,,
handspan,6343,diṭ,diṣ,dríṣṭɨ,diṣṭ,,
honey,9989,mac̣híi,mac̣íi,mac̣híi,mac̣híi,,
house,4336,góoṭ,góoṣ,góoṣ,goóṣ,,
house,,,,šikáar,,,
irrigation channel,10442,yap,yab,yab,yap,,
irrigation channel,,íi~l,íil,íil,íil,,
loom,,hésko,,,,,
loom,,,éeṇi,vaán,,,
loom,,,,luṭhúru,,,
mattock (hoe),13839,phyóo~li,pheélo,phyóo~li,,,
mattock (hoe),,genṭí,genṭí,genṭí,ginṭí,,
mattock (hoe),,,,,bel,,
milk,6391,dut,dut,dut,dut,,
milk,,aṇaáwo,,,,,
path,7785,pon,pon,pon,pon,,
plow,14000,hal,hal,hal,hal,,
roof,12326,,šaróon,šarún,šarín,,
roof,,táši,,,,,
roof,5731,,,tal,,,
salt,10978,,luúṇi,luúṇi,,,
salt,,pajúu,,,pajúu,,
sickle,10988,leéc̣,léec̣i,,,,
sickle,,bisáac̣,,,,,
sickle,,,,"óṅo, ó~ṅɨ",,,
sickle,6260,,,,dáli (?),,
smoke,6849,duúm,duúm,duúm,duúm,,
spinning wheel,,cárko,cágar,,caáko,,
spinning wheel,10412,,,yo~ṣ,,,
village,3232,kúi,,kwíi,,,
