LSI-TELUGU,,ayidu,Five,,ʌjid̪u,,"grierson-lsi1928[p. 10-11, form TELUGU-5_five-1, concept 5_five]",,,grierson-lsi1928:TELUGU-5_five-1,,,,
LSI-BRAHUI,,panch,Five,,pʌn̪tʃ,,"grierson-lsi1928[p. 10-11, form BRAHUI-5_five-1, concept 5_five]",,,grierson-lsi1928:BRAHUI-5_five-1,,,,
LSI-ARABIC,,ꭓams,Five,,xʌms,,"grierson-lsi1928[p. 10-11, form ARABIC-5_five-1, concept 5_five]",,,grierson-lsi1928:ARABIC-5_five-1,,,,
LSI-AVESTAN,,pañcha,Five,,pʌɲtʃʌ,,"grierson-lsi1928[p. 10-11, form AVESTAN-5_five-1, concept 5_five]",,,grierson-lsi1928:AVESTAN-5_five-1,,,,
LSI-PAHLAVI,,panch,Five,,pʌn̪tʃ,,"grierson-lsi1928[p. 10-11, form PAHLAVI-5_five-1, concept 5_five]",,,grierson-lsi1928:PAHLAVI-5_five-1,,,,
LSI-PERSIAN,,panj,Five,,pʌn̪dʒ,,"grierson-lsi1928[p. 10-11, form PERSIAN-5_five-1, concept 5_five]",,,grierson-lsi1928:PERSIAN-5_five-1,,,,
LSI-PASHTOOFPESHAWAR,,pinża,Five,,pin̪zʌ,,"grierson-lsi1928[p. 10-11, form PASHTOOFPESHAWAR-5_five-1, concept 5_five]",,,grierson-lsi1928:PASHTOOFPESHAWAR-5_five-1,,,,
LSI-WAZIRI,,pīnza,Five,,piːn̪zʌ,,"grierson-lsi1928[p. 10-11, form WAZIRI-5_five-1, concept 5_five]",,,grierson-lsi1928:WAZIRI-5_five-1,,,,
LSI-PASHTOOFKANDAHAR,,pinḏẕa,Five,,pin̪dzʌ,,"grierson-lsi1928[p. 10-11, form PASHTOOFKANDAHAR-5_five-1, concept 5_five]",,,grierson-lsi1928:PASHTOOFKANDAHAR-5_five-1,,,,
LSI-ORMURI,,pēnḏẕ,Five,,peːn̪dz,,"grierson-lsi1928[p. 10-11, form ORMURI-5_five-1, concept 5_five]",,,grierson-lsi1928:ORMURI-5_five-1,,,,
LSI-BALOCHIMAKRANI,,panch,Five,,pʌn̪tʃ,,"grierson-lsi1928[p. 10-11, form BALOCHIMAKRANI-5_five-1, concept 5_five]",,,grierson-lsi1928:BALOCHIMAKRANI-5_five-1,,,,
LSI-EASTERNBALOCHI,,p’anch’,Five,,pʰʌn̪tʃʰ,,"grierson-lsi1928[p. 10-11, form EASTERNBALOCHI-5_five-1, concept 5_five]",,,grierson-lsi1928:EASTERNBALOCHI-5_five-1,,,,
LSI-WAXI,,pånz,Five,,pɔn̪z,,"grierson-lsi1928[p. 10-11, form WAXI-5_five-1, concept 5_five]",,,grierson-lsi1928:WAXI-5_five-1,,,,
