Badaga,d1,a-,"that one; remote demonstrative (in space, time or context)",,,,"hockings-pilotraichoor1992[p. 3, col. 1]",,Hockings and Pilot-Raichoor cite DEDR 1,hockings-pilotraichoor1992:p3:c1:y0111,,,,demonstrative
Badaga,d282,au ikkudu,"auspicious chanting, chanting the sound o: hau hau/e: hau hau/ hau ko:/ hau hau",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"(q.v.; cf. a:tikku; < au+ ikkudu, ‘auspicious+utterance of chant); Hockings and Pilot-Raichoor cite DEDR 282, 492",hockings-pilotraichoor1992:p3:c2:y0342,,,,multiword-expression uncertain
Badaga,d492,au ikkudu,"auspicious chanting, chanting the sound o: hau hau/e: hau hau/ hau ko:/ hau hau",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"(q.v.; cf. a:tikku; < au+ ikkudu, ‘auspicious+utterance of chant); Hockings and Pilot-Raichoor cite DEDR 282, 492",hockings-pilotraichoor1992:p3:c2:y0342:link:2,,,,multiword-expression uncertain
Badaga,,au jina,"third day after a full moon (auspicious time; u: /u; jina, u:ka:lu, Emeneau 1939: 45-46 recorded 4ű(-jina), idem.) DBIASI15",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,,hockings-pilotraichoor1992:p3:c2:y0407,,,,noun uncertain alternate
Badaga,,a:jina,"third day after a full moon (auspicious time; u: /u; jina, u:ka:lu, Emeneau 1939: 45-46 recorded 4ű(-jina), idem.) DBIASI15",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,Printed alternate of au jina,hockings-pilotraichoor1992:p3:c2:y0407:variant:1,hockings-pilotraichoor1992:p3:c2:y0407,,,noun uncertain alternate
Badaga,,(aunty),"aunt, respected older woman",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,(< Eng.),hockings-pilotraichoor1992:p3:c2:y0462,,,,noun uncertain
Badaga,,aum,"om, aum, amen, sacred syllable uttered at the conclusion of many Hindu prayers",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,"(cf. Skt. om, aum, idem.)",hockings-pilotraichoor1992:p3:c2:y0484,,,,interj uncertain
Badaga,d273,auve,"1. mother, father’s wife, wife's father’s sister; 2. Toreya term of address for higher-status Badaga women",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,(cf. amma); Hockings and Pilot-Raichoor cite DEDR 273,hockings-pilotraichoor1992:p3:c2:y0526,,,,noun uncertain alternate
Badaga,,avve,"1. mother, father’s wife, wife's father’s sister; 2. Toreya term of address for higher-status Badaga women",,,,"hockings-pilotraichoor1992[p. 3, col. 2]",,Printed alternate of auve,hockings-pilotraichoor1992:p3:c2:y0526:variant:1,hockings-pilotraichoor1992:p3:c2:y0526,,,noun uncertain alternate
Badaga,,aus,house,,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,(modern; cf. mane; < Eng. house),hockings-pilotraichoor1992:p4:c1:y0074,,,,noun modern uncertain
Badaga,d295,ac,"to measure, gauge",,,,"hockings-pilotraichoor1992[p. 4, col. 1]",,"(a:v-, a:d-; Emeneau 1939: 45-46 recorded áé, áde, ávile, ávi); Hockings and Pilot-Raichoor cite DEDR 295",hockings-pilotraichoor1992:p4:c1:y0095,,,,verb tr uncertain
