Gondi,,naɾu,village,,naɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 25, Jaganathapuram Koya]",,,silkoya1985:jag:i025:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,lonu,house,,lonu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 26, Jaganathapuram Koya]",,,silkoya1985:jag:i026:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,mutʃa,roof,,mutʃa,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 27, Jaganathapuram Koya]",,,silkoya1985:jag:i027:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,talapu,door,,talapu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 28, Jaganathapuram Koya]",,,silkoya1985:jag:i028:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,veɾike,firewood,,veɾike,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 29, Jaganathapuram Koya]",,,silkoya1985:jag:i029:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,epuɾu,broom,,epuɾu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 30, Jaganathapuram Koya]",,,silkoya1985:jag:i030:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,ɾolu,mortar,,ɾolu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 31, Jaganathapuram Koya]",,,silkoya1985:jag:i031:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,uspal,pestle,,uspal,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 32, Jaganathapuram Koya]",,,silkoya1985:jag:i032:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,sutːi,hammer,,sutːi,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 33, Jaganathapuram Koya]",,,silkoya1985:jag:i033:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,kaseɾ,knife,,kaseɾ,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 34, Jaganathapuram Koya]",,,silkoya1985:jag:i034:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,godeli,axe,,godeli,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 35, Jaganathapuram Koya]",,,silkoya1985:jag:i035:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,tadu,rope,,tadu,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 36, Jaganathapuram Koya]",,,silkoya1985:jag:i036:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,daɾam,thread,,daɾam,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 37, Jaganathapuram Koya]",,,silkoya1985:jag:i037:v1,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
Gondi,,nol,thread,,nol,Appendix E; eastern Koya; manual source-image transcription,"devagnanavaram-et-al2021koya[Appendix E, printed p. 78, item 37, Jaganathapuram Koya]",,,silkoya1985:jag:i037:v2,,,,dialect:Gondi:sil-koya-1985-jaganathapuram:Jaganathapuram%20Koya
