luwati,10539,rat,blood,,rat̪,,maimani,,,legacy:20230524-sindhic:row:20,,,,
maimani,13952,haɗūh,bone,,haɗuh,,maimani,,,legacy:20230524-sindhic:row:21,,,,
luwati,13952,haɗū,bone,,haɗu,,maimani,,,legacy:20230524-sindhic:row:22,,,,
maimani,6671,ɓāretūh,burn,,ɓa:retuh,,maimani,,,legacy:20230524-sindhic:row:23,,,,
luwati,6671,ɓāretū,burn,,ɓa:retu,,maimani,,,legacy:20230524-sindhic:row:24,,,,
maimani,5014,śātīh,chest,,ʃa:tih,,maimani,,,legacy:20230524-sindhic:row:25,,,,
luwati,5014,cātī,chest,,tʃa:ti,,maimani,,,legacy:20230524-sindhic:row:26,,,,
maimani,,mlār,cloud,,mla:r,,maimani,,,legacy:20230524-sindhic:row:27,,,,
luwati,11567,vāḍya,cloud,,wa:ɖja,,maimani,,,legacy:20230524-sindhic:row:28,,,,
maimani,13676,ʈʰaḍūh,cold,,ʈʰaɖuh,,maimani,,,legacy:20230524-sindhic:row:29,,,,
luwati,13676,ṭʰaḍū,cold,,ʈʰaɖu,,maimani,,,legacy:20230524-sindhic:row:30,,,,
maimani,227,aśetūh,come,,aʃetuh,,maimani,,,legacy:20230524-sindhic:row:31,,,,
luwati,227,acetū,come,,atʃetu,,maimani,,,legacy:20230524-sindhic:row:32,,,,
maimani,9871,maretūh,die,,maretuh,,maimani,,,legacy:20230524-sindhic:row:33,,,,
luwati,9871,maretū,die,,maretu,,maimani,,,legacy:20230524-sindhic:row:34,,,,
maimani,3275,kuttūh,dog,,kʊttuh,,maimani,,,legacy:20230524-sindhic:row:35,,,,
luwati,3275,kuttū,dog,,kʊttu,,maimani,,,legacy:20230524-sindhic:row:36,,,,
maimani,8209,byetūh,drink,,bjetuh,,maimani,,,legacy:20230524-sindhic:row:37,,,,
luwati,8209,byetū,drink,,bjetu,,maimani,,,legacy:20230524-sindhic:row:38,,,,
maimani,12548,sukkūyah,dry,,sʊkkujah,,maimani,,,legacy:20230524-sindhic:row:39,,,,
luwati,12548,sukkū,dry,,sʊkku,,maimani,,,legacy:20230524-sindhic:row:40,,,,
maimani,2830,kʰan,ear,,kʰan,,maimani,,,legacy:20230524-sindhic:row:41,,,,
luwati,2830,kʰan,ear,,kʰan,,maimani,,,legacy:20230524-sindhic:row:42,,,,
maimani,,zamīn,earth,,zamin,,maimani,,,legacy:20230524-sindhic:row:43,,,,
luwati,,zimīn,earth,,zɪmin,,maimani,,,legacy:20230524-sindhic:row:44,,,,
maimani,3865,kaituh,eat,,kaɪtʊh,,maimani,,,legacy:20230524-sindhic:row:45,,,,
luwati,3865,kaitu,eat,,kaɪtʊ,,maimani,,,legacy:20230524-sindhic:row:46,,,,
maimani,1111,ānūh,egg,,a:nuh,,maimani,,,legacy:20230524-sindhic:row:47,,,,
luwati,1111,ānū,egg,,a:nu,,maimani,,,legacy:20230524-sindhic:row:48,,,,
maimani,43,akʰah,eye,,akʰah,,maimani,,,legacy:20230524-sindhic:row:49,,,,
luwati,43,akʰī,eye,,akʰi,,maimani,,,legacy:20230524-sindhic:row:50,,,,
maimani,,pakʰah,feather,,pakʰah,,maimani,,,legacy:20230524-sindhic:row:51,,,,
luwati,,pɔ̄r,feather,,pɔ:r,,maimani,,,legacy:20230524-sindhic:row:52,,,,
maimani,6914,nūh,fingernail,,nuh,,maimani,,,legacy:20230524-sindhic:row:53,,,,
luwati,6914,nɔ̄,fingernail,,nɔ:,,maimani,,,legacy:20230524-sindhic:row:54,,,,
maimani,,ṭʰāndūh,fire,,ʈʰa:nduh,,maimani,,,legacy:20230524-sindhic:row:55,,,,
luwati,,ṭʰādū,fire,,ʈʰa:du,,maimani,,,legacy:20230524-sindhic:row:56,,,,
maimani,9758,mahcih,fish,,mahtʃɪh,,maimani,,,legacy:20230524-sindhic:row:57,,,,
luwati,9758,maci,fish,,matʃɪ,,maimani,,,legacy:20230524-sindhic:row:58,,,,
maimani,e37,gɔ̄hśit,flesh,,gɔ:hʃɪt,,maimani,,,legacy:20230524-sindhic:row:59,,,,
luwati,e37,gɔ̄śit,flesh,,gɔ:ʃɪt,,maimani,,,legacy:20230524-sindhic:row:60,,,,
maimani,1697,ūɗeūh,fly,,uɗeuh,,maimani,,,legacy:20230524-sindhic:row:61,,,,
