bumb,,ákul hik,To become wise,,,verb; Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-38,,,,
bumb,,ákul kawá ne ṣáṭik,,,,Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-39,,,,
bumb,,"akulmín, akulmíndr",,,,Trail & Cooper PDF p. 32 (printed p. 2); Variant: akulbín.,trail-cooper1999,,,tc-entry-40,,,,
bumb,,akulwáḷa,Wise,,,adj; Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-41,,,,
bumb,,ála,"Up there, uphill",,,adv; Trail & Cooper PDF p. 32 (printed p. 2); Variant: hála.,trail-cooper1999,,,tc-entry-42,,,,
bumb,,alagúl,"Bustle, rush, activity",,,noun; Trail & Cooper PDF p. 32 (printed p. 2),trail-cooper1999,,,tc-entry-43,,,,
bumb,,alapála hik,To be greedy and avaricious (especially about eating),,,verb; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-44,,,,
bumb,,alát,"Difficulty, trouble",,,noun; Trail & Cooper PDF p. 33 (printed p. 3); From: Arabic.,trail-cooper1999,,,tc-entry-45,,tc-loan-Arabic,,loan:Arabic
bumb,,albát,"Probably, perhaps",,,adv; Trail & Cooper PDF p. 33 (printed p. 3); From: Arabic.,trail-cooper1999,,,tc-entry-46,,tc-loan-Arabic,,loan:Arabic
bumb,,alibé,Alphabet,,,noun; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-47,,,,
bumb,,aliphík,"To follow and catch, keep up with someone",,,verb; Trail & Cooper PDF p. 33 (printed p. 3); Prdm: Class 4 ( nisík ).,trail-cooper1999,,,tc-entry-48,,,,Kalasha-class-4
bumb,,alizaŋgí,Large seed of a certain plant about the size of a walnut used as medicine for boils,,,noun; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-49,,,,
bumb,,almarí,"Cupboard, shelves",,,noun; Trail & Cooper PDF p. 33 (printed p. 3); From: Arabic.,trail-cooper1999,,,tc-entry-50,,tc-loan-Arabic,,loan:Arabic
bumb,,álu,Potato,,,noun; Trail & Cooper PDF p. 33 (printed p. 3); Variant: aláw (Urtsun).; From: Persian.,trail-cooper1999,,,tc-entry-51,,tc-loan-Persian,,loan:Persian
urt,,aláw,Potato,,,dialect variant of álu; Urtsun; Trail & Cooper PDF p. 33 (printed p. 3); Variant: aláw (Urtsun).,trail-cooper1999,,,tc-entry-51-variant-1,tc-entry-51,tc-loan-Persian,,dialect-variant
bumb,,aluók,Potato curry,,,noun; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-52,,,,
bumb,,alucá,"Plum, plum tree",,,noun; Trail & Cooper PDF p. 33 (printed p. 3); From: Persian.,trail-cooper1999,,,tc-entry-53,,tc-loan-Persian,,loan:Persian
bumb,,áḷa,"Him, her, it (accusative, present, remote)",,,pron; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-54,,,,
bumb,,áḷa ek,"That other one (accusative, present, remote)",,,pron; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-55,,,,
bumb,,aḷahák hik,To be impatient,,,verb; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-56,,,,
bumb,,aḷaṣíŋ hik,To elope with a man,,,verb; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-57,,,,
bumb,,aḷaṣíŋ jhónta kárik,,,,Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-58,,,,
bumb,,aḷaṣíŋ kárik,To elope with a girl,,,verb; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-59,,,,
bumb,,aḷaṣíŋ murạ́,Couple that has just eloped,,,noun; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-60,,,,
bumb,,aḷaṣíŋ parík,To elope with a man,,,verb; Trail & Cooper PDF p. 33 (printed p. 3),trail-cooper1999,,,tc-entry-61,,,,
bumb,,aḷáy,There,,,adv; Trail & Cooper PDF p. 34 (printed p. 4); Morph: aḷa-ay.,trail-cooper1999,,,tc-entry-62,,,,morphology
bumb,,aḷáy andáy tyek,To search frantically here and there,,,idiom; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-63,,,,
bumb,,aḷayalía,In that direction (away from speaker),,,adv; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-64,,,,
bumb,,aḷéy,From there,,,adv; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-65,,,,
bumb,,aḷayhák,"Aside, away",,,adv; Trail & Cooper PDF p. 34 (printed p. 4); Morph: aḷ-ay-ha-k.; Variant: aḷayák; aḷahák.,trail-cooper1999,,,tc-entry-66,,,tc-entry-1924,morphology
bumb,,aḷayhák kárik,To take aside,,,verb; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-67,,,,
bumb,,aḷé,1) Place where salt is found,,,noun; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-68,,,,
bumb,,-aḷé,Possessing a large size of something.,,,suffix; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-69,,,,
bumb,,aḷéḷa,Over there (out of view),,,adv; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-70,,,,
bumb,,aḷganá,The goal in a game of,,,noun; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-71,,,,
bumb,,áḷuk,"1) Pumpkin, squash",,,noun; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-72,,,,
bumb,,áma,"Him, her, it (accusative, present, near)",,,pron; Trail & Cooper PDF p. 34 (printed p. 4); Variant: am (used before vowels).,trail-cooper1999,,,tc-entry-73,,,,
bumb,,áma ek,"This other one (accusative, present, near)",,,pron; Trail & Cooper PDF p. 34 (printed p. 4),trail-cooper1999,,,tc-entry-74,,,,
bumb,1236,áma,"Unripe, uncooked, raw",,,adj; Trail & Cooper PDF p. 34 (printed p. 4); Turner etymology T-1236,trail-cooper1999,,Trail & Cooper Etym: a2má- ‘raw’ T-1236.,tc-entry-75,,,,
bumb,,amál,1) Equinox (vernal and autumnal),,,noun; Trail & Cooper PDF p. 34 (printed p. 4); Variant: hamál; hamál thon. 2) O’clock; PSýÿà. takríban kía aṣṭ bajáas amál šẽhẽ ṭem thi ašís. takríban du bajáas amáluna ṭaliman khána goṣ prekí šíau. It was about eight o’clock. About two o’clock Talaman Khan’s barn collapsed.,trail-cooper1999,,,tc-entry-76,,,,
