re,,ala,line of ploughing,,ala,,"bhattacharya1968bonda[p. 4, row 1, item 63]",,De.,bhattacharya1968bonda:C:c1.p4.r1.i63.s63,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alad - ḍem-,to express joy,,alad - ḍem-,,"bhattacharya1968bonda[p. 4, row 6, item 68]",,,bhattacharya1968bonda:C:c1.p4.r6.i68.s66,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alad - ḍik'-,to be delighted,,alad - ḍik'-,,"bhattacharya1968bonda[p. 4, row 5, item 67]",,,bhattacharya1968bonda:C:c1.p4.r5.i67.s66,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alad,gladness,,alad,,"bhattacharya1968bonda[p. 4, row 4, item 66]",,De.,bhattacharya1968bonda:C:c1.p4.r4.i66.s66,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alai-,to shake,,alai-,cf. Hi./hila:na:/ id.,"bhattacharya1968bonda[p. 4, row 2, item 64]",,,bhattacharya1968bonda:C:c1.p4.r2.i64.s64,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alaŋ - ṭenḍka,a slow-moving lizard,,alaŋ - ṭenḍka,,"bhattacharya1968bonda[p. 4, row 3, item 65]",,De./ɔlɔm ṭenḍka:/,bhattacharya1968bonda:C:c1.p4.r3.i65.s65,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ale?,a stiff-necked person,,ale?,"masc. /ale?ṛa/, pl. /ale?ṛe/; fem. /ale?bɔi/, pl. /ale?bɔye/","bhattacharya1968bonda[p. 4, row 10, item 72]",,,bhattacharya1968bonda:C:c1.p4.r10.i72.s70,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo f m
re,,alemɔ,leaf-stalk,,alemɔ,,"bhattacharya1968bonda[p. 4, row 9, item 71]",,,bhattacharya1968bonda:C:c1.p4.r9.i71.s69,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alisali,a tree (= De.<al>),,alisali,,"bhattacharya1968bonda[p. 4, row 7, item 69]",,,bhattacharya1968bonda:C:c1.p4.r7.i69.s67,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alka,easy,,alka,,"bhattacharya1968bonda[p. 4, row 12, item 74]",,De./halka/,bhattacharya1968bonda:C:c1.p4.r12.i74.s72,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alka - bai,easy,,alka - bai,,"bhattacharya1968bonda[p. 4, row 12, item 74]",,De./halka/,bhattacharya1968bonda:C:c1.p4.r12.i74.s72:v2,bhattacharya1968bonda:C:c1.p4.r12.i74.s72,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alni,(food) prepared without salt,,alni,,"bhattacharya1968bonda[p. 4, row 13, item 75]",,De.,bhattacharya1968bonda:C:c1.p4.r13.i75.s73,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alni - bai,(food) prepared without salt,,alni - bai,,"bhattacharya1968bonda[p. 4, row 13, item 75]",,De.,bhattacharya1968bonda:C:c1.p4.r13.i75.s73:v2,bhattacharya1968bonda:C:c1.p4.r13.i75.s73,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,aluŋ,"down, below",,aluŋ,/ataluŋ/ down there,"bhattacharya1968bonda[p. 4, row 8, item 70]",,,bhattacharya1968bonda:C:c1.p4.r8.i70.s68,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,alɔ,otherwise,,alɔ,"/alɔ ta?mina/ otherwise he would have sneezed; /aniŋ akuṛuta, alɔ sumniŋ/ I am not hungry, otherwise I would have eaten","bhattacharya1968bonda[p. 4, row 11, item 73]",,,bhattacharya1968bonda:C:c1.p4.r11.i73.s71,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,amar,kind of tree,,amar,,"bhattacharya1968bonda[p. 2, row 12, item 36]",,,bhattacharya1968bonda:C:c1.p2.r12.i36.s36,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,amɔ?,"stop, do not do (a negative expression)",,amɔ?,,"bhattacharya1968bonda[p. 2, row 13, item 37]",,"Gt./namɔ?/ ""don't""; also DED 278, Kur./amba:/, Malt./ambe/ id.",bhattacharya1968bonda:C:c1.p2.r13.i37.s37,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo neg
re,,anabsɔŋ,"husk-fire (i.e. a burning charcoal kept on a leaf-cup full of husk, which it is taken to the field for lighting cigars",,anabsɔŋ,,"bhattacharya1968bonda[p. 2, row 6, item 30]",,,bhattacharya1968bonda:C:c1.p2.r6.i30.s30,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,anap',"chaff, husk of rice, bran",,anap',,"bhattacharya1968bonda[p. 2, row 5, item 29]",,,bhattacharya1968bonda:C:c1.p2.r5.i29.s29,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,anene,used in songs to set the voice in proper tune,,anene,,"bhattacharya1968bonda[p. 2, row 8, item 32]",,,bhattacharya1968bonda:C:c1.p2.r8.i32.s32,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,angkui,a spirit watching over the affairs of the house,,angkui,,"bhattacharya1968bonda[p. 141, row 1, item 2789]",,,bhattacharya1968bonda:C:c2.p141.r1.i2789.s2788_Elwin157,,,,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo
re,,angtɔ,taboo,,angtɔ,,"bhattacharya1968bonda[p. 141, row 2, item 2790]",,,bhattacharya1968bonda:C:c2.p141.r2.i2790.s2789_Elwin195,,,,dialect:re:bhattacharya1968bonda-hill:Hill%20Bondo
re,,ani,father's father,,ani,/ani-ḍeŋ/ his father's father,"bhattacharya1968bonda[p. 2, row 7, item 31]",,,bhattacharya1968bonda:C:c1.p2.r7.i31.s31,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,anḍa,"no, not",,anḍa,,"bhattacharya1968bonda[p. 1, row 19, item 19]",,,bhattacharya1968bonda:C:c1.p1.r19.i19.s19,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,anḍeŋ - sap'-,to return,,anḍeŋ - sap'-,,"bhattacharya1968bonda[p. 1, row 20, item 20]",,,bhattacharya1968bonda:C:c1.p1.r20.i20.s20,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,anḍra,male,,anḍra,,"bhattacharya1968bonda[p. 1, row 21, item 21]",,De.,bhattacharya1968bonda:C:c1.p1.r21.i21.s21,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,apa,"elder sister, school-mistress",,apa,pl. /-le/,"bhattacharya1968bonda[p. 2, row 9, item 33]",,De.,bhattacharya1968bonda:C:c1.p2.r9.i33.s33,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,apṭa-apṭi,a mutual grappling,,apṭa-apṭi,"De.__!/apṭay-/ to grapple, to seize by throwing the arms around","bhattacharya1968bonda[p. 2, row 10, item 34]",,,bhattacharya1968bonda:C:c1.p2.r10.i34.s34,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ar,"which, there, where, nowhere (with a neg. verb)",,ar,"/arna/ of which place, from where, from somewhere; /arlɔsna/ a person from somewhere","bhattacharya1968bonda[p. 2, row 16, item 40]",,,bhattacharya1968bonda:C:c1.p2.r16.i40.s40,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ari,"which, there, where, nowhere (with a neg. verb)",,ari,"/arna/ of which place, from where, from somewhere; /arlɔsna/ a person from somewhere","bhattacharya1968bonda[p. 2, row 16, item 40]",,,bhattacharya1968bonda:C:c1.p2.r16.i40.s40:v2,bhattacharya1968bonda:C:c1.p2.r16.i40.s40,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ar-,to lose a game,,ar-,,"bhattacharya1968bonda[p. 3, row 1, item 41]",,De./ha:r-/,bhattacharya1968bonda:C:c1.p3.r1.i41.s41,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arda,half-rupee,,arda,IA.,"bhattacharya1968bonda[p. 3, row 10, item 50]",,,bhattacharya1968bonda:C:c1.p3.r10.i50.s50,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,areḍak',hail,,areḍak',,"bhattacharya1968bonda[p. 3, row 3, item 43]",,,bhattacharya1968bonda:C:c1.p3.r3.i43.s43,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,are,hail,,are,,"bhattacharya1968bonda[p. 3, row 3, item 43]",,,bhattacharya1968bonda:C:c1.p3.r3.i43.s43:v2,bhattacharya1968bonda:C:c1.p3.r3.i43.s43,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,argu,where,,argu,see /ar/,"bhattacharya1968bonda[p. 3, row 8, item 48]",,,bhattacharya1968bonda:C:c1.p3.r8.i48.s48,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,ari-siŋ,upper part of fowl's foot,,ari-siŋ,,"bhattacharya1968bonda[p. 3, row 2, item 42]",,,bhattacharya1968bonda:C:c1.p3.r2.i42.s42,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arke,"moon, mouth",,arke,,"bhattacharya1968bonda[p. 3, row 5, item 45]",,,bhattacharya1968bonda:C:c1.p3.r5.i45.s45,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arke-tɔk'-,to be a full-moon night,,arke-tɔk'-,see /kimi-tɔk'-/,"bhattacharya1968bonda[p. 3, row 7, item 47]",,,bhattacharya1968bonda:C:c1.p3.r7.i47.s47,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arketɔk',moonlight,,arketɔk',,"bhattacharya1968bonda[p. 3, row 6, item 46]",,,bhattacharya1968bonda:C:c1.p3.r6.i46.s46,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arlagsɔŋ,burning charcoal,,arlagsɔŋ,,"bhattacharya1968bonda[p. 3, row 12, item 52]",,,bhattacharya1968bonda:C:c1.p3.r12.i52.s52,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arlam,plate,,arlam,"pl. /-le/, /-e/","bhattacharya1968bonda[p. 3, row 13, item 53]",,,bhattacharya1968bonda:C:c1.p3.r13.i53.s53,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arlim-,to have scratches from one's own nail or claw,,arlim-,/mai maina kirime burɔŋ arlimga/ he scratched himself with his own fingernail,"bhattacharya1968bonda[p. 3, row 14, item 54]",,,bhattacharya1968bonda:C:c1.p3.r14.i54.s54,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arlim-,"to scratch another with a pointed article (like thorn, claw, etc.)",,arlim-,/kukusag a-mai arlimɔ/ tiger scratched him; see /lim-/,"bhattacharya1968bonda[p. 3, row 15, item 55]",,,bhattacharya1968bonda:C:c1.p3.r15.i55.s55,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arre,"alas!, how strange!",,arre,,"bhattacharya1968bonda[p. 3, row 11, item 51]",,De.,bhattacharya1968bonda:C:c1.p3.r11.i51.s51,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arǰu:,"daughter's husband, younger sister's husband, brother's/sister's daughter's husband",,arǰu:,,"bhattacharya1968bonda[p. 3, row 9, item 49]",,,bhattacharya1968bonda:C:c1.p3.r9.i49.s49,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
re,,arɔ,"that side, there",,arɔ,,"bhattacharya1968bonda[p. 3, row 4, item 44]",,,bhattacharya1968bonda:C:c1.p3.r4.i44.s44,,,,dialect:re:bhattacharya1968bonda-plains:Plains%20Bondo
