Juray,,amu,peak,,amu,,"zide1982reconstruction[p. 242, item 114]",Z82-p242-i114,Zide Sora–Juray comparison group Z82-p242-i114; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p242.i114,,,,
so,,amu,"tip, peak",,amu,,"zide1982reconstruction[p. 242, item 114]",Z82-p242-i114,Zide Sora–Juray comparison group Z82-p242-i114; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p242.i114,,,,
so,,amu,tip; peak (of a mountain),,amu,,"zide1982reconstruction[p. 411, item 1034]",Z82-p411-i1034,Zide Sora–Juray comparison group Z82-p411-i1034; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p411.i1034,,,,
so,,amu-ti,tip; peak (of a mountain),,amu-ti,,"zide1982reconstruction[p. 411, item 1034]",Z82-p411-i1034,Zide Sora–Juray comparison group Z82-p411-i1034; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p411.i1034:v2,zide1982reconstruction:C:c1.p411.i1034,,,
so,,amu-n-ti-bɨr,tip (of an arrow),,amu-n-ti-bɨr,,"zide1982reconstruction[p. 238, item 71]",Z82-p238-i71,Zide Sora–Juray comparison group Z82-p238-i71; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p238.i71,,,,
Juray,,amu-n-ti-bɨr,"peak (of a mountain); tip (of a needle, arrow etc.)",,amu-n-ti-bɨr,,"zide1982reconstruction[p. 411, item 1034]",Z82-p411-i1034,Zide Sora–Juray comparison group Z82-p411-i1034; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p411.i1034,,,,
Juray,,amunti-suɟ,"peak (of a mountain); tip (of a needle, arrow etc.)",,amunti-suɟ,,"zide1982reconstruction[p. 411, item 1034]",Z82-p411-i1034,Zide Sora–Juray comparison group Z82-p411-i1034; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p411.i1034:v2,zide1982reconstruction:C:c2.p411.i1034,,,
Juray,,amunti-am,"peak (of a mountain); tip (of a needle, arrow etc.)",,amunti-am,,"zide1982reconstruction[p. 411, item 1034]",Z82-p411-i1034,Zide Sora–Juray comparison group Z82-p411-i1034; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p411.i1034:v3,zide1982reconstruction:C:c2.p411.i1034,,,
Juray,,amu-ti-bɨr,peak,,amu-ti-bɨr,,"zide1982reconstruction[p. 238, item 71]",Z82-p238-i71,Zide Sora–Juray comparison group Z82-p238-i71; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p238.i71,,,,
Juray,,amʌn,you,,amʌn,,"zide1982reconstruction[p. 411, item 1033]",Z82-p411-i1033,Zide Sora–Juray comparison group Z82-p411-i1033; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p411.i1033,,,,sg
Juray,,-nʌm,you,,-nʌm,,"zide1982reconstruction[p. 411, item 1033]",Z82-p411-i1033,Zide Sora–Juray comparison group Z82-p411-i1033; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p411.i1033:v2,zide1982reconstruction:C:c2.p411.i1033,,,sg
so,,amʌn,you(singular),,amʌn,,"zide1982reconstruction[p. 411, item 1033]",Z82-p411-i1033,Zide Sora–Juray comparison group Z82-p411-i1033; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p411.i1033,,,,
so,,-nʌm,you(singular),,-nʌm,,"zide1982reconstruction[p. 411, item 1033]",Z82-p411-i1033,Zide Sora–Juray comparison group Z82-p411-i1033; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p411.i1033:v2,zide1982reconstruction:C:c1.p411.i1033,,,
Juray,,ansɔ-,alone,,ansɔ-,,"zide1982reconstruction[p. 595, item 2401]",Z82-p595-i2401,Zide Sora–Juray comparison group Z82-p595-i2401; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p595.i2401,,,,
so,,ansɔn-,alone,,ansɔn-,,"zide1982reconstruction[p. 595, item 2401]",Z82-p595-i2401,Zide Sora–Juray comparison group Z82-p595-i2401; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c1.p595.i2401,,,,
Juray,,ar-,to scrape out,,ar-,,"zide1982reconstruction[p. 241, item 107-2]",Z82-p241-i107-2,Zide Sora–Juray comparison group Z82-p241-i107-2; only this lect is indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p241.i107-2,,,,
Juray,,ar-,"to scrape, peel, unstick, peel off",,ar-,,"zide1982reconstruction[p. 241, item 107]",Z82-p241-i107,Zide Sora–Juray comparison group Z82-p241-i107; both lects are indexed. No protoform is exposed by the index.,zide1982reconstruction:C:c2.p241.i107,,,,
