Mai-Jijal,,ʌxrʌ́th,the other world,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B); dictionary POS: n.f",zoller2005,,
Mai-Jijal,,ʌxʌrtī́,the other world,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B); dictionary POS: n.f",zoller2005,,
Gowro,,ʌxrʌ́th,the other world,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B); dictionary POS: n.f",zoller2005,,
Gowro,,ʌxʌrtáh,the other world,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B); dictionary POS: n.f",zoller2005,,
bhatr,,axrät,the other world,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: ʌxrʌ́th, -àh or ʌxʌrtī́ (J); ʌxrʌ́th, ʌxʌrtáh (G); axrät (B); dictionary POS: n.f",zoller2005,,
Mai-Jijal,,ʌgaxānī́ gɑ̄́,an imported black-and-white cow,,,"m; Zoller 2005 ch. 4, p. 63; dictionary head: ʌgaxānī́ gɑ̄́ (n1); dictionary POS: n.m",zoller2005,,
Gowro,68,agár,ﬁrst; in front (of),,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: agár 1 (G); dictionary POS: adj.m",zoller2005,,< ágra- (68). Cf. adj.m. agō̃ and adj.f. agũĩ.
Gowro,,agʌ́r,if,,,"conj; Zoller 2005 ch. 4, p. 63; dictionary head: agʌ́r 2 (G, J, Š); dictionary POS: conj",zoller2005,,
Mai-Jijal,,agʌ́r,if,,,"conj; Zoller 2005 ch. 4, p. 63; dictionary head: agʌ́r 2 (G, J, Š); dictionary POS: conj",zoller2005,,
Mai-Shatot,,agʌ́r,if,,,"conj; Zoller 2005 ch. 4, p. 63; dictionary head: agʌ́r 2 (G, J, Š); dictionary POS: conj",zoller2005,,
Gowro,,agʌ́rbʌtī,incense,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā; dictionary POS: n.f",zoller2005,,
Mai-Jijal,,agʌ́rbʌtī,incense,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā; dictionary POS: n.f",zoller2005,,
Gowro,,agʌ́rbʌtē,incense,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā; dictionary POS: n.f",zoller2005,,
Mai-Jijal,,agʌ́rbʌtē,incense,,,"f; Zoller 2005 ch. 4, p. 63; dictionary head: agʌ́rbʌtī, agʌ́rbʌtē (G, J); J also agʌ́rbʌtiā; dictionary POS: n.f",zoller2005,,
Mai-Jijal,,ʌgʌ̀ṽ,"single, one-sided",,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌgʌ̀ṽ 1; dictionary POS: adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌgʌ̀ṽ 2",zoller2005,,
Mai-Jijal,,ʌ̀gʌṽ lū̀,a male person who has snatched away a shawl or another article of clothing from a female person in order to ridicule her family,,,"m; derived; Zoller 2005 ch. 4, p. 63; dictionary head: ʌ̀gʌṽ 3 lū̀ (n1); dictionary POS: n.m",zoller2005,,"← ʌ̀gū and see second worḍ Cf. also kʌṇḍʌrā̃̀ lū̀, xālìs lū̀ and ṭikrʌ̀ṽ lū̀."
Mai-Jijal,2485,ʌgɑ̄̀lʌš,eleven,,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌgɑ̄̀lʌš (J, Š); dictionary POS: adj",zoller2005,,< ékādaśa- (2485). Same as B yḕš and G ayayš.
Mai-Shatot,2485,ʌgɑ̄̀lʌš,eleven,,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌgɑ̄̀lʌš (J, Š); dictionary POS: adj",zoller2005,,< ékādaśa- (2485). Same as B yḕš and G ayayš.
Mai-Jijal,,ʌgɑ̄̀lʌšobīš,thirty-one,,,"adj; derived; compound; Zoller 2005 ch. 4, p. 63; dictionary head: ʌgɑ̄̀lʌšobīš; dictionary POS: adj",zoller2005,,"← agɑ̄̀lʌš plus -o-, plus bī́š."
Mai-Jijal,,ʌguìši,"helpless, without help",,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌguìši; dictionary POS: adj",zoller2005,,
Mai-Jijal,10593,ʌguṛtū́,"a thin or small bedcover, shawl",,,"f; derived; compound; uncertain; Zoller 2005 ch. 4, p. 63; dictionary head: ʌguṛtū́, -ṓ; dictionary POS: n.f",zoller2005,,← ʌ̀gū plus perh. < *raṭṭa- (10593).
Gowro,,agũĩ,ﬁrst,,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: agũĩ (G); dictionary POS: adj.f",zoller2005,,
Gowro,,ʌgū,early,,,"adv; Zoller 2005 ch. 4, p. 63; dictionary head: ʌgū (G); dictionary POS: adv",zoller2005,,
Mai-Jijal,,ʌ̀gū,a thick or big bedcover; a shawl worn by the bride during marriage,,,"m; Zoller 2005 ch. 4, p. 63; dictionary head: ʌ̀gū, -ō; dictionary POS: n.m",zoller2005,,
Gowro,,agō̃,ﬁrst,,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: agō̃ (G); dictionary POS: adj.m",zoller2005,,
Mai-Jijal,,ʌgō̃̀,"unripe (grain, fruits); not trustworthy (person)",,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌgō̃̀; dictionary POS: adj",zoller2005,,
Mai-Jijal,118,aṅgʌ́ṛ,a courtyard,,,"Zoller 2005 ch. 4, p. 63; dictionary head: aṅgʌ́ṛ, -àh or -ī́ ṇ",zoller2005,,"< aṅgana- (118). Ex.: bhʌ̀ṽ-aṅgṛàh thḕ or bhʌ̀ṽ-aṅgṛī́ thḕ ‘(there) are the courts of the house’, bāvʌrčixānàh-aṅgṛī́ thḕ or bāvʌrčixānàh-aṅgṛàh thḕ ‘(there) are the courts of the kitchen’."
bhatr,,aṅgàỹ kɑ̄̀l,two years ago,,,"adv; Zoller 2005 ch. 4, p. 63; dictionary head: aṅgàỹ kɑ̄̀l (B); dictionary POS: adv",zoller2005,,
bhatr,,aṅgàỹ d̀ïs,day before yesterday,,,"adv; Zoller 2005 ch. 4, p. 63; dictionary head: aṅgàỹ d̀ïs (B); dictionary POS: adv",zoller2005,,
Mai-Jijal,7165,ʌṅgɑ̄̀,"ignorant, too young to know (child)",,,"adj; Zoller 2005 ch. 4, p. 63; dictionary head: ʌṅgɑ̄̀; dictionary POS: adj",zoller2005,,< *nigāti (7165) with negative prefix.
Mai-Jijal,125,ʌṅgɑ̄̀r,a ﬁre,,,"m; Zoller 2005 ch. 4, p. 63; dictionary head: ʌṅgɑ̄̀r, -ah (J, Š); dictionary POS: n.m",zoller2005,,< áṅgāra- (125).
Mai-Shatot,125,ʌṅgɑ̄̀r,a ﬁre,,,"m; Zoller 2005 ch. 4, p. 63; dictionary head: ʌṅgɑ̄̀r, -ah (J, Š); dictionary POS: n.m",zoller2005,,< áṅgāra- (125).
Mai-Jijal,,ʌṅgɑ̄̀r guyʌ́ṽ,to kindle a ﬁre,,,"Zoller 2005 ch. 4, p. 63; dictionary head: + guyʌ́ṽ",zoller2005,,
Mai-Shatot,,ʌṅgɑ̄̀r guyʌ́ṽ,to kindle a ﬁre,,,"Zoller 2005 ch. 4, p. 63; dictionary head: + guyʌ́ṽ",zoller2005,,
Mai-Jijal,,ʌṅgɑ̄̀r thakʌ́ṽ,to extinguish a ﬁre,,,"Zoller 2005 ch. 4, p. 63; dictionary head: + thakʌ́ṽ",zoller2005,,
Mai-Shatot,,ʌṅgɑ̄̀r thakʌ́ṽ,to extinguish a ﬁre,,,"Zoller 2005 ch. 4, p. 63; dictionary head: + thakʌ́ṽ",zoller2005,,
