fuv,13574,iri,sun,އިރި,,,fritz,,,legacy:20220913-dhivehi:row:98,,,,
fuv,3696,kiri,milk,ކިރި,,,fritz,,,legacy:20220913-dhivehi:row:99,,,,
fuv,6368,digi,long,ދިގި,,,fritz,,,legacy:20220913-dhivehi:row:100,,,,
fuv,5839,tīṇi,hot (spicy),ތީޱި,,,fritz,,,legacy:20220913-dhivehi:row:101,,,,
fuv,4225,gui,excrement,ގުއި,,,fritz,,,legacy:20220913-dhivehi:row:102,,,,
fuv,7247,liᵐboi,lemon,ލިނބޮއި,,,fritz,,,legacy:20220913-dhivehi:row:103,,,,
fuv,920,aha,horse,އަހަ,,,fritz,,,legacy:20220913-dhivehi:row:104,,,,
fuv,43,ehe,jewel,އެހެ,,???,fritz,,,legacy:20220913-dhivehi:row:105,,,,
fuv,9237,beḷal(u),cat,ބެޅަލު,,,fritz,,,legacy:20220913-dhivehi:row:106,,,,
fuv,5131,jaᵐbu,rose apple,ޖަނބު,,likely loanword/semi-native form,fritz,,,legacy:20220913-dhivehi:row:107,,,,
fuv,2668,kaṣa,"spike, thorn",ކަށަ,,,fritz,,,legacy:20220913-dhivehi:row:108,,,,
fuv,4406,gaḍi,"hour, watch, clock",ގަޑި,,,fritz,,,legacy:20220913-dhivehi:row:109,,,,
fuv,10679,radun̊,king,ރަދުން,,"likely loanword/semi-native form, lexicalized plural",fritz,,,legacy:20220913-dhivehi:row:110,,,,
fuv,941,aṣo,eight,އަށޮ,,,fritz,,,legacy:20220913-dhivehi:row:111,,,,
fuv,2816,kakiḍi,crab,ކަކިޑި,,,fritz,,,legacy:20220913-dhivehi:row:112,,,,
fuv,9393,baro,heavy; load,ބަރޮ,,,fritz,,,legacy:20220913-dhivehi:row:113,,,,
fuv,11592,vaha,smell,ވަހަ,,,fritz,,,legacy:20220913-dhivehi:row:114,,,,
fuv,10910,lado,shy,ލަދޮ,,,fritz,,,legacy:20220913-dhivehi:row:115,,,,
fuv,e29,riveti,"beautiful, pretty",ރިވެތި,,,fritz,,,legacy:20220913-dhivehi:row:116,,,,
fuv,9754,mado,a little,މަދޮ,,,fritz,,,legacy:20220913-dhivehi:row:117,,,,
fuv,3083,kaḷo,black,ކަޅޮ,,,fritz,,,legacy:20220913-dhivehi:row:118,,,,
fuv,11547,varaha,very,ވަރަހަ,,lexicalized dative,fritz,,,legacy:20220913-dhivehi:row:119,,,,
fuv,221,itiri,"more, another, increase",އިތިރި,,,fritz,,,legacy:20220913-dhivehi:row:120,,,,
fuv,9691,ma,I,މަ,,,fritz,,,legacy:20220913-dhivehi:row:121,,,,
fuv,992,ava,I,އަވަ,,,fritz,,,legacy:20220913-dhivehi:row:122,,,,
fuv,11742,vidi,lightning,ވިދި,,,fritz,,,legacy:20220913-dhivehi:row:123,,,,
fuv,5889,tо̄,thou,ތޯ,,,fritz,,,legacy:20220913-dhivehi:row:124,,,,
fuv,986,afū,we,އަފޫ,,,fritz,,,legacy:20220913-dhivehi:row:125,,,,
fuv,9723,maḍo,"quiet, soft, slow",މަޑޮ,,,fritz,,,legacy:20220913-dhivehi:row:126,,,,
fuv,3712,kudu,"small, little",ކުދު,,,fritz,,,legacy:20220913-dhivehi:row:127,,,,
fuv,e30,enek̊,another,އެނެއް,,,fritz,,,legacy:20220913-dhivehi:row:128,,,,
