koya,d273,yavva,mother,,,source label: Koya Su.,"burrow-emeneau1972den1[p. 400, entry 232]",,DEN I (1972) records this reflex under old main 232; resolved to current DEDR d273.,burrow-emeneau1972den1:p400:u021:f001,,,,source-addition
Kurux,d276,aṅgnā,to feel pain in the soles of the feet from walking on a rough road,,,source label: Hahn; verb; Pfeiffer.,"burrow-emeneau1972den1[p. 400, entry 234]",,DEN I (1972) records this reflex under old main 234; resolved to current DEDR d276.,burrow-emeneau1972den1:p400:u022:f001,,,,source-addition
Tamil,d277,ar̤aṉ,corpse,,,,"burrow-emeneau1972den1[p. 400, entry 235]",,DEN I (1972) records this reflex under old main 235; resolved to current DEDR d277.,burrow-emeneau1972den1:p400:u023:f001,,,,source-addition
Tamil,d277,ar̤aṉam,corpse,,,,"burrow-emeneau1972den1[p. 400, entry 235]",,DEN I (1972) records this variant under old main 235; resolved to current DEDR d277.,burrow-emeneau1972den1:p400:u023:f002,,,,source-addition variant
Tulu,d278,aḷuve,"bar, mouth of a river where it joins the sea",,,source label: B-K,"burrow-emeneau1972den1[p. 400, entry 236]",,DEN I (1972) records this variant under old main 236; resolved to current DEDR d278.,burrow-emeneau1972den1:p400:u024:f002,,,,source-addition variant
Tulu,d282,lāvu,,,,replacement for levu,"burrow-emeneau1972den1[p. 400, entry 240]",,DEN I (1972) records this reflex under old main 240; resolved to current DEDR d282.,burrow-emeneau1972den1:p400:u025:f004,,,,source-correction
Pengo,d282,ṛatpa-,,,,caus.; so correct aratpa-,"burrow-emeneau1972den1[p. 400, entry 240]",,DEN I (1972) records this reflex under old main 240; resolved to current DEDR d282.,burrow-emeneau1972den1:p400:u025:f005,,,,source-correction
Tamil,d284,ar̤aṉ,corpse,,,,"burrow-emeneau1972den1[p. 400, entry 242]",,DEN I (1972) records this reflex under old main 242; resolved to current DEDR d284.,burrow-emeneau1972den1:p400:u026:f001,,,,source-addition
Tamil,d284,ar̤aṉam,corpse,,,,"burrow-emeneau1972den1[p. 400, entry 242]",,DEN I (1972) records this variant under old main 242; resolved to current DEDR d284.,burrow-emeneau1972den1:p400:u026:f002,,,,source-addition variant
Konda,d288,"al- (aṭ-, aṇ-)",(tongue) to get the taste of,,,verb,"burrow-emeneau1972den1[p. 400, entry 247]",,DEN I (1972) records this reflex under old main 247; resolved to current DEDR d288.,burrow-emeneau1972den1:p400:u027:f001,,,,source-addition
tappu,d314,ade,to search,,,"source label: Tappu dial., LSB 9.5; verb","burrow-emeneau1972den1[p. 400, entry 265]",,DEN I (1972) records this reflex under old main 265; resolved to current DEDR d314.,burrow-emeneau1972den1:p400:u030:f001,,,,source-addition
Telugu,d315,aṟa,"defect, incompleteness",,,deleted from 192,"burrow-emeneau1972den1[p. 400, entry 266]",,DEN I (1972) records this reflex under old main 266; resolved to current DEDR d315.,burrow-emeneau1972den1:p400:u031:f001,,,,source-addition
Telugu,d315,aṟagoṟa,"defect, deficiency",,,,"burrow-emeneau1972den1[p. 400, entry 266]",,DEN I (1972) records this reflex under old main 266; resolved to current DEDR d315.,burrow-emeneau1972den1:p400:u031:f002,,,,source-addition
Tulu,d316,akku,to digest,,,source label: B-K; verb,"burrow-emeneau1972den1[p. 400, entry 267]",,DEN I (1972) records this derived under old main 267; resolved to current DEDR d316.,burrow-emeneau1972den1:p400:u032:f002,,,,source-addition derived
Telugu,d316,aṟupu-konu,to digest,,,verb,"burrow-emeneau1972den1[p. 400, entry 267]",,DEN I (1972) records this reflex under old main 267; resolved to current DEDR d316.,burrow-emeneau1972den1:p400:u032:f003,,,,source-addition
Telugu,d321,ṟappa,a small stone,,,,"burrow-emeneau1972den1[p. 400, entry 271]",,DEN I (1972) records this reflex under old main 271; resolved to current DEDR d321.,burrow-emeneau1972den1:p400:u033:f001,,,,source-addition
muria,d322,ahpi,room of a house,,,source label: Mu.; Voc. 114,"burrow-emeneau1972den1[p. 400, entry 272]",,DEN I (1972) records this reflex under old main 272; resolved to current DEDR d322.,burrow-emeneau1972den1:p400:u034:f001,,,,source-addition
Telugu,d340,aṅkili,"obstacle, impediment",,,,"burrow-emeneau1972den1[p. 400, entry 286]",,DEN I (1972) records this reflex under old main 286; resolved to current DEDR d340.,burrow-emeneau1972den1:p400:u035:f001,,,,source-addition
gommu,d340,āng-,to stop (intr.),,,"source label: Koya T., p. 79; verb","burrow-emeneau1972den1[p. 400, entry 286]",,DEN I (1972) records this reflex under old main 286; resolved to current DEDR d340.,burrow-emeneau1972den1:p400:u035:f002,,,,source-addition
gommu,d340,āp-,to make stop,,,"source label: Koya T., p. 79; verb","burrow-emeneau1972den1[p. 400, entry 286]",,DEN I (1972) records this derived under old main 286; resolved to current DEDR d340.,burrow-emeneau1972den1:p400:u035:f003,,,,source-addition derived
koya,d340,āṅ-,to stop (intr.),,,source label: Koya Su.; verb,"burrow-emeneau1972den1[p. 400, entry 286]",,DEN I (1972) records this reflex under old main 286; resolved to current DEDR d340.,burrow-emeneau1972den1:p400:u035:f004,,,,source-addition
koya,d340,āp-,to stop (tr.),,,source label: Koya Su.; verb; id.,"burrow-emeneau1972den1[p. 400, entry 286]",,DEN I (1972) records this derived under old main 286; resolved to current DEDR d340.,burrow-emeneau1972den1:p400:u035:f005,,,,source-addition derived
adil,d340,āg-,"to stop, stand",,,source label: A Su.; verb,"burrow-emeneau1972den1[p. 400, entry 286]",,DEN I (1972) records this reflex under old main 286; resolved to current DEDR d340.,burrow-emeneau1972den1:p400:u035:f006,,,,source-addition
Kuwi,d340,āngeṇi,"lane, alley",,,source label: Mah.,"burrow-emeneau1972den1[p. 400, entry 286]",,DEN I (1972) records this reflex under old main 286; resolved to current DEDR d340.,burrow-emeneau1972den1:p400:u035:f007,,,,source-addition
Kuwi,d340,āshinai,to impede,,,source label: S.; verb,"burrow-emeneau1972den1[p. 400, entry 286]",,DEN I (1972) records this reflex under old main 286; resolved to current DEDR d340.,burrow-emeneau1972den1:p400:u035:f008,,,,source-addition
tiyya,d300,aḷāmbu,a variety of mushroom,,,source label: Tiyya,"burrow-emeneau1972den1[p. 400, entry 305]",,DEN I (1972) records this reflex under old main 305; resolved to current DEDR d300.,burrow-emeneau1972den1:p400:u037:f001,,,,source-addition
Tulu,d300,alambu,mushroom,,,source label: B-K,"burrow-emeneau1972den1[p. 400, entry 305]",,DEN I (1972) records this reflex under old main 305; resolved to current DEDR d300.,burrow-emeneau1972den1:p400:u037:f002,,,,source-addition
Tulu,d300,alambu,mushroom,,,source label: B-K,"burrow-emeneau1972den1[p. 400, entry 305]",,DEN I (1972) records this variant under old main 305; resolved to current DEDR d300.,burrow-emeneau1972den1:p400:u037:f003,,,,source-addition variant
tappu,d300,armbi,mushroom,,,"source label: Tappu dial., LSB 12.7; id.","burrow-emeneau1972den1[p. 400, entry 305]",,DEN I (1972) records this reflex under old main 305; resolved to current DEDR d300.,burrow-emeneau1972den1:p400:u037:f004,,,,source-addition
tiyya,d381,ārti,greed,,,source label: Tiyya,"burrow-emeneau1972den1[p. 400, entry 323]",,DEN I (1972) records this reflex under old main 323; resolved to current DEDR d381.,burrow-emeneau1972den1:p400:u038:f001,,,,source-addition
Toda,d393,o·foj,,,,replacement form,"burrow-emeneau1972den1[p. 400, entry 334]",,DEN I (1972) records this reflex under old main 334; resolved to current DEDR d393.,burrow-emeneau1972den1:p400:u039:f002,,,,source-correction
