bugun_wangho,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:w:1
nyishi_chimpu,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:g:1
puroik_chug,,na,2nd sg. (familiar),,na,,abraham-sako2021[p. 56],,,tagin-puroik:300:c:1
puroik_gari,,na,2nd sg. (familiar),,na,,abraham-sako2021[p. 56],,,tagin-puroik:300:b:1
puroik_paji,,na,2nd sg. (familiar),,na,,abraham-sako2021[p. 56],,,tagin-puroik:300:e:1
puroik_phereng,,na,2nd sg. (familiar),,na,,abraham-sako2021[p. 56],,,tagin-puroik:300:a:1
tagin_baki,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:l:1
tagin_maskia,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:n:1
tagin_nacho,,nu,2nd sg. (familiar),,nu,,abraham-sako2021[p. 56],,,tagin-puroik:300:k:1
tagin_sippi,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:j:1
tagin_takseng,,nu,2nd sg. (familiar),,nu,,abraham-sako2021[p. 56],,,tagin-puroik:300:f:1
tagin_taliha,,no,2nd sg. (familiar),,no,,abraham-sako2021[p. 56],,,tagin-puroik:300:d:1
bugun_bichom,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:x:1
bugun_kaspi,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:y:1
bugun_namphri,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:z:1
bugun_singchung,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:v:1
bugun_wangho,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:w:1
nyishi_chimpu,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:g:1
puroik_chug,,na,2nd sg. (honorific),,na,,abraham-sako2021[p. 56],,,tagin-puroik:301:c:1
puroik_gari,,na,2nd sg. (honorific),,na,,abraham-sako2021[p. 56],,,tagin-puroik:301:b:1
puroik_paji,,na,2nd sg. (honorific),,na,,abraham-sako2021[p. 56],,,tagin-puroik:301:e:1
puroik_phereng,,na,2nd sg. (honorific),,na,,abraham-sako2021[p. 56],,,tagin-puroik:301:a:1
tagin_baki,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:l:1
tagin_maskia,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:n:1
tagin_nacho,,nu,2nd sg. (honorific),,nu,,abraham-sako2021[p. 56],,,tagin-puroik:301:k:1
tagin_sippi,,samoguba,2nd sg. (honorific),,samoguba,,abraham-sako2021[p. 56],,,tagin-puroik:301:j:1
tagin_takseng,,nu,2nd sg. (honorific),,nu,,abraham-sako2021[p. 56],,,tagin-puroik:301:f:1
tagin_taliha,,no,2nd sg. (honorific),,no,,abraham-sako2021[p. 56],,,tagin-puroik:301:d:1
bugun_bichom,,ethe,3rd pl.,,ethe,,abraham-sako2021[p. 57],,,tagin-puroik:307:x:1
bugun_kaspi,,thei,3rd pl.,,thei,,abraham-sako2021[p. 57],,,tagin-puroik:307:y:1
bugun_namphri,,ethəe,3rd pl.,,ethəe,,abraham-sako2021[p. 57],,,tagin-puroik:307:z:1
bugun_singchung,,nathəa,3rd pl.,,nathəa,,abraham-sako2021[p. 57],,,tagin-puroik:307:v:1
bugun_wangho,,ethe,3rd pl.,,ethe,,abraham-sako2021[p. 57],,,tagin-puroik:307:w:1
