Pr,nured-210,pinǰilíg,"hail, small hailstones",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:5,,,,noun dialect:Pr:nured-Pr-k:Ka%E1%B8%8D%C3%A1r%20%28Ka%E1%B9%AD%C4%81r%29 dialect:Pr:nured-Pr-d:W%C3%BC%C4%8B%C7%98%20%28Dewa%29 dialect:Pr:nured-Pr-pr:Se%C4%8D%20%28Pronj%CC%88%29 dialect:Pr:nured-Pr-i:%E1%B9%A2up%C3%BA%20%28I%E1%B9%A3%E1%B9%ADewi%29 dialect:Pr:nured-Pr-z:Zum%C3%BA
Kt,nured-210,piṇól,"bunched up, covered in sth.",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:6,,,,verb dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,nured-210,piṇ-,to gather in a crowd,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:7,,,,verb dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29
Wg,nured-210,peṇí,small stone used as projectile,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:8,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29
Wg,nured-210,kalipaní,gore/gusset in crotch of trousers,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:9,,,,noun dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Wg,nured-210,puṇá,sides of the body that contain the kidneys,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:10,,,,noun dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Ash,nured-210,puṇú,"kidney, calf (of leg)",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:11,,,,noun m dialect:Ash:nured-Ash-tt:Tit%C3%ADn
Pr,nured-210,puṇḍá,"plant with leaves that are red on the underside, the long root of which is eaten",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:12,,,,noun dialect:Pr:nured-Pr-i:%E1%B9%A2up%C3%BA%20%28I%E1%B9%A3%E1%B9%ADewi%29 uncertain loanword
Wg,nured-210,puṇéy,calf (of leg),,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:13,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29
Wg,nured-210,puṇík,kidney,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:14,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29
Pr,nured-210,puṇḍíg,numeral classifier for fruit,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:15,,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29
Kt,nured-210,puṇë́-,"to puff up, to become fat, to swell up",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:16,,,,verb dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,nured-210,puṇík,"pimple, boil",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:17,,,,noun f dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,nured-210,puṇ-,to swell,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:18,,,,verb dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Ash,nured-210,puṇé-,to swell up,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:19,,,,verb dialect:Ash:nured-Ash-s:Sam%C3%AB%CC%81%20%28W%C4%81m%C4%81%29
Kt,nured-210,puṇor (pa-púṇor),"around, surrounding",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:20,,,,adj multiword-expression dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,nured-210,čúr̆-puṇur,all around,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:21,,,,adj dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-210,puṇḍrí,"finished, whole, entire",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:22,,,,adj dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Pr,nured-210,puṇḍí,full [of the moon],,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:23,,,,adj dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29 dialect:Pr:nured-Pr-i:%E1%B9%A2up%C3%BA%20%28I%E1%B9%A3%E1%B9%ADewi%29 loanword
Pr,nured-210,puṇḍrí-moč,a pre-Islamic killing rank,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:24,,,,noun m
Kt,nured-210,përë́,"round (f. -í); egg, seed/grain, numeral classifier for fruit etc.",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:25,,,,noun adj dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-210,puṇḍrë́/-í,round,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:26,,,,adj dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,nured-210,puṇḍrë́ bu-,to be cramped (muscle),,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:27,,,,verb multiword-expression dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,nured-210,puṇḍurá/-í,"round, spherical (object)",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:28,,,,noun adj dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Wg,nured-210,püṇḍri,salt container,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:29,,,,noun dialect:Wg:nured-Wg-z:%E1%BA%92%C3%B6n%C4%8Digal%20%28Arans%29 uncertain
Kt,nured-210,puṛúk,"egg, round object",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:30,,,,noun m dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-210,puṇḍrúk,"round object (e.g., pine cone, ball, cloud)",,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:31,,,,noun m dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,nured-210,përík,bullet,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:32,,,,noun f dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-210,puṛík,bullet; sour green plum,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:33,,,,noun f dialect:Kt:nured-Kt-ne:Northeastern%20Kat%C3%AB
Kt,nured-210,puṇḍrík,bullet),,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:34,,,,noun f dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Kt,nured-210,puṇḍrë́n̆/-i,round,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:35,,,,adj dialect:Kt:nured-Kt-se:Southeastern%20Kat%C3%AB
Wg,nured-210,puṇḍrók,kidney,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:36,,,,noun dialect:Wg:nured-Wg-n:Ni%C5%A1eygr%C4%81m
Pr,nured-210,kilpuṇḍë́l,round piece of cheese,,,,"nured[page 210, revision 3290, 2026-01-30]",,,nured:210:form:37,,,,noun dialect:Pr:nured-Pr-p:Wu%E1%B9%A3%C7%98t%20%28Pa%E1%B9%A3k%C3%AD%29
