loke_jharkot,,tɕe,tongue,,tɕe,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:13:loke_jharkot:1
loke_lo_manthang,,dʑemo,tongue,,dʑemo,Source lexical-similarity group 2,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:13:loke_lo_manthang:1
loke_ghiling,,dzemo,tongue,,dzemo,Source lexical-similarity group 2,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:13:loke_ghiling:1
loke_chhosher,,dzemo,tongue,,dzemo,Source lexical-similarity group 2,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:13:loke_chhosher:1
loke_kagbeni,,tɕemo,tongue,,tɕemo,Source lexical-similarity group 2,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:13:loke_kagbeni:1
loke_jharkot,,tsele,tongue,,tsele,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:13:loke_jharkot:2
loke_kagbeni,,ʈa̤ŋgok,chest,,ʈa̤ŋgok,Source lexical-similarity group 2,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:14:loke_kagbeni:1
loke_lo_manthang,,ʈʰa̤ŋgok,chest,,ʈʰa̤ŋgok,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:14:loke_lo_manthang:1
loke_ghiling,,ʈʰa̤ŋgok,chest,,ʈʰa̤ŋgok,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:14:loke_ghiling:1
loke_chhosher,,ʈʰa̤ŋgok,chest,,ʈʰa̤ŋgok,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:14:loke_chhosher:1
loke_kagbeni,,ʈa̤ŋgok,chest,,ʈa̤ŋgok,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:14:loke_kagbeni:2
loke_jharkot,,ʈa̤ŋgokpa,chest,,ʈa̤ŋgokpa,Source lexical-similarity group 4,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:14:loke_jharkot:1
loke_kagbeni,,ʈa̤ŋgok,chest,,ʈa̤ŋgok,Source lexical-similarity group 4,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:14:loke_kagbeni:3
loke_lo_manthang,,pʰoa,belly,,pʰoa,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:15:loke_lo_manthang:1
loke_ghiling,,pʰoa,belly,,pʰoa,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:15:loke_ghiling:1
loke_jharkot,,pʰoa,belly,,pʰoa,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:15:loke_jharkot:1
loke_kagbeni,,pʰoa,belly,,pʰoa,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:15:loke_kagbeni:1
loke_chhosher,,pʰo̤a̤,belly,,pʰo̤a̤,Source lexical-similarity group 3,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:15:loke_chhosher:1
loke_lo_manthang,,cepa,waist,,cepa,Source lexical-similarity group 1,khadgi-marcuson-marcuson2021mustang[p. 127],,,mustang:16:loke_lo_manthang:1
